"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116"
"11",-0.9536,2.9551,-5.0179,-2.0305,4.1904,-1.4864,4.1471,6.6548,1.0822,2.3896,0.7574,3.0628,2.5697,-0.8721,1.5103,4.8527,-0.2814,1.4165,0.101300000000000,4.5355,7.0847,-6.0205,-1.6564,-3.7401,1.2399,4.9134,-0.131399999999999,-5.0268,-2.113,-2.0789,-6.0237,-0.1738,-1.4781,-0.7852,2.7077,-0.0562,-0.9415,5.653,6.1756,0.4226,-0.8459,-4.0189,1.1098,2.3713,4.1202,-1.1775,-0.1419,2.3256,2.7303,-4.5928,-3.3165,2.2339,-1.3296,0.8762,2.1334,2.9514,3.2005,0.7553,2.8281,-0.5986,4.3657,-2.253,-0.2792,2.5673,-5.0642,1.9497,3.751,0.7756,-0.114,-0.147400000000000,1.9374,5.7384,3.4945,2.6786,3.721,-1.4912,0.336,-0.3434,-5.0687,-0.0799,-3.0701,8.7124,-1.4642,2.2168,-0.1628,-3.7858,-5.9384,-0.4207,-0.5899,2.9263,0.4814,-5.7649,1.7508,5.6433,-2.453,-0.3068,-4.0814,5.9667,0.1994,2.7849,-2.6981,-0.7082,2.6094,1.5355,-0.1851,8.0306,-1.7734,-0.8281,-0.9919,0.9832,0.719,-2.5594,2.504,4.9771,-0.5842,5.7849
"12",-0.1387,3.1157,-5.0771,-2.133,3.5728,-0.6823,4.2664,6.6692,1.891,1.8322,-0.1607,2.1666,3.6624,-0.8048,2.3914,3.5776,0.4305,0.6869,-0.5725,4.7792,6.4392,-5.5176,-2.3335,-3.1684,0.7458,4.457,-1.0357,-4.8071,-1.3605,-2.2168,-5.6131,-0.6258,-0.6977,-1.1795,2.5113,0.654,-0.8214,5.842,6.383,0.3884,-1.0908,-4.0794,1.3169,2.3329,4.4368,-1.6573,-0.054,2.5596,2.2993,-4.8877,-3.0399,2.1775,-0.9229,1.243,2.3757,3.6062,2.5404,1.6133,2.4092,-1.6949,3.4892,-2.8452,-0.684,2.3169,-4.2788,0.5193,3.5919,1.7856,0.3141,-0.5947,2.9797,5.5354,3.4034,2.4979,4.0841,-1.8213,0.155600000000000,-1.1408,-4.3102,0.4609,-3.6576,8.7636,-1.6126,2.4908,-0.219,-3.4008,-6.2901,-0.3643,-1.0883,3.3039,0.7733,-5.4572,1.9824,5.4129,-2.8058,-1.1303,-3.6562,6.4695,-0.1179,2.6242,-2.3406,-0.7427,3.0517,0.8959,-0.2183,7.1352,-1.3829,-0.1751,-0.8316,0.9827,1.6785,-3.3881,2.4097,4.8854,-0.6457,5.6678
"13",0.527,3.0711,-4.8911,-2.1711,2.8394,0.293800000000000,4.2862,6.62,2.6838,1.2373,-1.1006,1.1512,4.8741,-0.6853,3.3457,2.3056,1.1187,-0.138400000000000,-1.3524,5.0246,5.7548,-4.8882,-3.118,-2.3527,0.0840999999999994,3.7612,-1.9977,-4.6063,-0.6402,-2.448,-4.9727,-1.1932,0.1778,-1.5801,2.1425,1.1599,-0.5936,6.11,6.4701,0.3417,-1.4237,-4.0475,1.6335,2.2528,4.6923,-2.2059,-0.0301,2.79,1.794,-4.9999,-2.671,1.9969,-0.5584,1.6366,2.6553,4.2012,1.7366,2.5713,1.956,-2.7669,2.4754,-3.2913,-1.0506,2.0812,-3.4055,-0.9103,3.3744,2.8974,0.7274,-0.9092,3.9828,5.2091,3.2063,2.3088,4.5017,-2.3662,0.0180999999999996,-2.0298,-3.4533,1.0215,-4.2532,8.739,-1.9801,2.7737,-0.34,-2.8319,-6.6679,-0.4217,-1.6168,3.7108,1.0655,-4.9664,2.0778,5.1336,-3.2059,-2.1381,-3.2216,7.0467,-0.4843,2.3495,-1.9529,-0.7646,3.4206,0.1572,-0.2133,5.8832,-1.1023,0.4114,-0.7563,0.876,2.6073,-4.1436,2.1883,4.8958,-0.6487,5.4957
"14",0.9336,2.8265,-4.3804,-2.1383,1.9926,1.3433,4.245,6.4701,3.424,0.7052,-2.0139,0.0649000000000002,6.1038,-0.5526,4.3076,1.0942,1.7387,-0.9845,-2.1445,5.1765,4.9921,-4.1376,-3.977,-1.3676,-0.612499999999999,2.8331,-2.9486,-4.4148,-0.0696999999999992,-2.7424,-4.1068,-1.8394,1.0875,-1.9693,1.6323,1.3691,-0.2564,6.4858,6.3849,0.2595,-1.8149,-3.8795,2.0285,2.1466,4.8484,-2.7887,-0.0734,2.9971,1.2457,-4.896,-2.2431,1.6845,-0.2838,2.0302,2.9611,4.6652,0.8316,3.5678,1.4838,-3.7143,1.3799,-3.5354,-1.3437,1.9129,-2.4805,-2.2515,3.099,4.0335,1.0816,-1.049,4.8634,4.7376,2.9042,2.1423,4.9585,-3.1448,-0.0560999999999998,-2.9286,-2.5344,1.5492,-4.8185,8.6001,-2.545,3.0329,-0.5395,-2.0663,-7.0132,-0.6243,-2.1419,4.1207,1.3363,-4.2719,2.0369,4.8166,-3.5974,-3.259,-2.8362,7.7018,-0.8748,1.9324,-1.5402,-0.7928,3.6725,-0.6535,-0.1455,4.2957,-1.0007,0.8934,-0.8135,0.6524,3.4311,-4.744,1.8354,5.0341,-0.5807,5.2719
"15",1.0398,2.4206,-3.5221,-2.0534,1.0677,2.3382,4.1861,6.1744,4.0499,0.3422,-2.8324,-1.032,7.2415,-0.4736,5.2088,-0.0322999999999993,2.2431,-1.7773,-2.8143,5.1565,4.1035,-3.3128,-4.8253,-0.2975,-1.1946,1.7391,-3.7961,-4.2262,0.249800000000000,-3.0391,-3.0671,-2.4867,1.955,-2.331,1.0728,1.241,0.1564,6.9746,6.0801,0.104900000000000,-2.2288,-3.5324,2.4546,2.0329,4.8729,-3.353,-0.1726,3.1536,0.6948,-4.5707,-1.8076,1.2429,-0.133700000000000,2.3815,3.2867,4.9206,-0.119200000000000,4.5316,1.0102,-4.4507,0.2723,-3.5251,-1.5329,1.8565,-1.5544,-3.4104,2.7726,5.1162,1.3476,-0.9955,5.5563,4.1005,2.5178,2.014,5.4341,-4.1286,-0.0662,-3.733,-1.5984,1.9952,-5.3204,8.3147,-3.2572,3.2305,-0.8167,-1.1115,-7.2513,-0.9909,-2.6249,4.5041,1.5705,-3.3723,1.895,4.4857,-3.9106,-4.3922,-2.5508,8.4333,-1.2763,1.36,-1.1205,-0.8677,3.7889,-1.489,0.0108000000000001,2.4446,-1.1239,1.2717,-1.0209,0.322699999999999,4.0965,-5.1125,1.3545,5.3118,-0.4495,5.0131
"16",0.8805,1.8912,-2.3695,-1.9483,0.131600000000000,3.128,4.141,5.6964,4.4869,0.223,-3.4731,-2.0795,8.1914,-0.509,5.9883,-1.0477,2.5929,-2.447,-3.2222,4.9132,3.0491,-2.5037,-5.5468,0.783,-1.5587,0.5913,-4.42,-4.0463,0.265400000000000,-3.2659,-1.9424,-3.0391,2.703,-2.6461,0.5862,0.7973,0.575,7.5533,5.5271,-0.164300000000001,-2.6282,-2.9764,2.8676,1.9292,4.7405,-3.8414,-0.3033,3.229,0.1847,-4.0395,-1.4197,0.685,-0.1216,2.643,3.6274,4.9045,-1.0552,5.3919,0.5532,-4.9201,-0.7814,-3.2207,-1.5951,1.9291,-0.684,-4.2938,2.4098,6.0763,1.52,-0.752,6.0226,3.2883,2.0747,1.9197,5.8946,-5.2369,-0.0304,-4.3441,-0.6945,2.3214,-5.7326,7.8569,-4.0552,3.3339,-1.1563,-0.00220000000000020,-7.3032,-1.5215,-3.0276,4.8262,1.7674,-2.29,1.7037,4.1674,-4.0781,-5.4236,-2.3947,9.2235,-1.6827,0.6491,-0.7225,-1.0319,3.7812,-2.2903,0.277,0.4425,-1.4843,1.5764,-1.3582,-0.0851000000000006,4.5772,-5.1884,0.7644,5.7169,-0.2811,4.7426
"17",0.5422,1.2577,-1.031,-1.8521,-0.7353,3.5813,4.1231,5.0149,4.6671,0.3652,-3.862,-3.0179,8.8866,-0.6779,6.5971,-1.8956,2.7754,-2.9181,-3.276,4.4188,1.8178,-1.8231,-6.0361,1.8273,-1.6799,-0.488300000000001,-4.7018,-3.8931,-0.0167000000000002,-3.3662,-0.8253,-3.4136,3.2735,-2.8867,0.2866,0.1151,0.8988,8.1802,4.7309,-0.5745,-2.982,-2.2082,3.2421,1.8475,4.4367,-4.2033,-0.4362,3.2006,-0.2468,-3.3313,-1.1273,0.0423,-0.2409,2.7775,3.9686,4.5904,-1.9122,6.0835,0.129100000000000,-5.0995,-1.7335,-2.6029,-1.5171,2.1087,0.0747,-4.8239,2.032,6.8606,1.6199,-0.3468,6.2517,2.3128,1.5953,1.8417,6.2932,-6.3522,0.0212999999999997,-4.6935,0.1315,2.5062,-6.0348,7.203,-4.8738,3.3193,-1.5356,1.1985,-7.0992,-2.1906,-3.3178,5.0502,1.9396,-1.0799,1.5087,3.8808,-4.0469,-6.2366,-2.3694,10.0245,-2.0866,-0.1517,-0.3729,-1.3074,3.6869,-3.0071,0.6631,-1.5732,-2.0568,1.8448,-1.7744,-0.5312,4.8668,-4.9403,0.1014,6.2063,-0.1058,4.4802
"18",0.128700000000000,0.5385,0.3675,-1.78,-1.4758,3.6479,4.1337,4.1286,4.543,0.7255,-3.9605,-3.7825,9.2896,-0.9478,6.9928,-2.5046,2.815,-3.1116,-2.9592,3.6749,0.449299999999999,-1.3721,-6.2336,2.8222,-1.599,-1.4063,-4.567,-3.7869,-0.537,-3.3136,0.213900000000001,-3.5657,3.6328,-3.0157,0.2481,-0.6927,1.0191,8.8036,3.7375,-1.1239,-3.2657,-1.2592,3.5771,1.7933,3.9669,-4.3997,-0.5515,3.0593,-0.5733,-2.4815,-0.9615,-0.6281,-0.477600000000001,2.7638,4.2851,3.9964,-2.628,6.5559,-0.2498,-4.9913,-2.5636,-1.682,-1.2965,2.3355,0.6658,-4.9502,1.6633,7.4368,1.6849,0.1638,6.2544,1.212,1.0901,1.7551,6.5817,-7.3433,0.0579000000000001,-4.7565,0.8463,2.5477,-6.2156,6.3327,-5.6507,3.1721,-1.9351,2.4053,-6.5889,-2.9457,-3.4695,5.1431,2.1041,0.1766,1.3368,3.6349,-3.7898,-6.7203,-2.4556,10.7603,-2.4746,-0.9647,-0.0888,-1.6763,3.5549,-3.6108,1.1636,-3.4641,-2.7782,2.0998,-2.2022,-0.9666,4.9698,-4.3719,-0.5861,6.7109,0.0635,4.2333
"19",-0.275000000000000,-0.2227,1.7131,-1.7258,-2.0838,3.3847,4.1734,3.0599,4.1032,1.2127,-3.7805,-4.3062,9.3861,-1.2576,7.137,-2.8253,2.7667,-2.9693,-2.3171,2.7206,-0.9612,-1.2025,-6.1353,3.7794,-1.3899,-2.1173,-4.0125,-3.7371,-1.203,-3.1079,1.1253,-3.5005,3.7625,-3.0043,0.4877,-1.5118,0.8515,9.3645,2.6273,-1.7796,-3.4599,-0.193800000000000,3.8878,1.7616,3.3585,-4.4005,-0.6546,2.8112,-0.7802,-1.5272,-0.9323,-1.2458,-0.8196,2.5953,4.5491,3.1771,-3.1528,6.7834,-0.5753,-4.623,-3.2768,-0.4997,-0.9412,2.5301,1.0369,-4.659,1.3267,7.7992,1.7508,0.6961,6.0522,0.0504999999999995,0.5644,1.6341,6.725,-8.088,0.0586000000000002,-4.5504,1.4316,2.4662,-6.2714,5.2421,-6.3285,2.8845,-2.3402,3.5199,-5.7447,-3.7156,-3.4596,5.08,2.2718,1.3839,1.1947,3.4279,-3.3118,-6.7773,-2.6235,11.3374,-2.8241,-1.6958,0.121800000000000,-2.0854,3.4254,-4.0987,1.7519,-5.1124,-3.5533,2.3385,-2.5805,-1.3343,4.8986,-3.5207,-1.241,7.1499,0.2396,3.9867
"20",-0.6292,-0.9588,2.9112,-1.6644,-2.5989,2.9196,4.2398,1.8585,3.3785,1.712,-3.3835,-4.5299,9.1778,-1.5486,7.0024,-2.8549,2.7005,-2.4819,-1.4257,1.63,-2.2793,-1.2953,-5.7763,4.7141,-1.1276,-2.6131,-3.1073,-3.7403,-1.9156,-2.7608,1.8705,-3.2606,3.644,-2.8601,0.9695,-2.2583,0.3658,9.7921,1.4974,-2.4858,-3.5468,0.9021,4.1917,1.738,2.6546,-4.1873,-0.7767,2.4785,-0.8622,-0.5061,-1.0264,-1.7301,-1.2591,2.2789,4.7388,2.2104,-3.4606,6.7747,-0.8422,-4.0442,-3.8968,0.8723,-0.4693,2.618,1.1454,-3.9765,1.0386,7.9667,1.8356,1.1504,5.6672,-1.0828,0.0217999999999998,1.4606,6.7016,-8.4957,0.0227000000000004,-4.1255,1.881,2.3017,-6.1965,3.9561,-6.8564,2.459,-2.736,4.445,-4.5602,-4.4198,-3.2706,4.852,2.4423,2.455,1.0761,3.2436,-2.65,-6.3378,-2.8363,11.6607,-3.1034,-2.2507,0.2576,-2.4689,3.3197,-4.4846,2.3821,-6.4395,-4.266,2.5313,-2.8696,-1.5739,4.6713,-2.4485,-1.8056,7.4497,0.4572,3.7077
