"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113"
"313",1.1857,0.718,2.0781,0.3591,0.662500000000001,0.7208,-0.8383,6.1427,-10.5202,-8.2048,-1.3943,-2.9351,4.331,-1.4855,1.6599,4.8723,1.1492,-0.0881000000000007,-6.7586,7.4572,1.1093,-6.0069,8.1613,-1.5097,3.8359,6.2981,-1.73090000000000,-6.916,1.562,2.361,-0.236499999999999,-1.4977,3.2384,-0.5771,-3.1197,-0.680600000000001,-6.4434,1.5365,-1.707,-2.8983,1.629,0.7238,-2.1713,-11.1103,-1.5061,2.1691,-3.5198,6.1407,-4.2759,-5.2996,7.5087,3.1435,1.5843,10.8355,3.2035,3.9999,-6.2632,2.4835,-5.4688,1.1247,-6.8151,-2.6432,-4.3663,-3.0482,6.8347,-3.2587,-6.4366,-2.0254,4.5662,2.3657,-2.0029,-1.1128,-0.9271,-11.0727,-1.8531,-5.4176,-0.4074,-13.3196,4.1861,-4.4377,-2.5578,-1.1887,1.1456,-2.0062,-1.3649,-1.8237,-4.6628,-10.3549,0.231600000000000,-7.4918,12.4323,0.966000000000001,0.144300000000001,4.728,-7.6609,-4.738,1.1193,-6.2329,-0.129200000000000,-1.5867,0.0852,-1.6339,1.8335,-0.8413,-5.2458,-9.5581,-0.164800000000000,-21.3383,11.5166,0.554099999999998,-11.6463,-4.2739,-6.7687
"314",1.2105,0.0502,2.8167,0.4847,1.0708,0.9346,-1.6842,6.5617,-10.1775,-6.9166,-0.892800000000001,-2.7893,4.5506,-1.9746,1.63,4.8616,0.9846,0.410699999999999,-6.6692,5.8792,1.3776,-6.2868,8.651,-2.5191,3.9239,5.8898,-1.2196,-6.8007,1.6547,2.2865,-0.6621,-1.5664,3.1315,-1.0812,-3.5136,-0.6106,-6.1464,1.5527,-1.5023,-2.6116,1.9573,0.4334,-2.2141,-10.4762,-0.247500000000000,2.0057,-1.8069,7.1414,-5.3752,-5.4406,7.9382,2.4939,1.6534,10.5956,3.2397,4.6536,-5.9896,2.5317,-4.9881,1.0012,-5.6061,-1.9783,-5.0624,-2.2905,5.7049,-3.7678,-6.7077,-1.8834,3.7326,3.0741,-1.7274,-1.413,-1.9216,-10.3447,-1.2766,-6.0071,-0.8649,-13.9558,5.7269,-4.6799,-2.3397,-1.5477,2.2299,-2.5237,-1.4987,-1.6609,-4.7224,-11.6079,0.9945,-8.976,13.5355,0.3857,0.234,4.833,-7.7424,-5.6002,2.4881,-7.2013,-0.2222,-1.1534,0.7681,-0.9307,3.0179,-1.402,-5.0167,-10.4989,0.106599999999999,-20.8537,11.5906,0.130400000000002,-10.8564,-5.6266,-6.4034
"315",1.3273,-0.7604,3.6459,0.5176,1.3086,1.3003,-2.3085,6.7348,-9.763,-5.3787,-0.398399999999999,-2.6789,4.6058,-2.3902,1.2828,4.8941,0.6459,0.6309,-6.3313,4.3746,1.8825,-6.5429,8.815,-3.4734,3.9345,5.419,-0.5612,-6.4916,1.3802,2.1235,-1.06910000000000,-1.5739,2.9984,-1.5402,-3.9051,-0.416600000000001,-5.9051,1.5828,-1.4446,-2.5484,2.1768,0.1856,-2.4438,-9.5702,0.8318,2.0408,-0.3535,8.0024,-6.2614,-5.5275,8.2096,1.7219,1.6409,10.0109,3.0634,5.3125,-5.4961,2.3458,-4.3534,0.8054,-4.3769,-1.4326,-5.8963,-1.3867,4.7731,-4.5741,-6.9973,-1.6977,2.9831,3.8602,-1.4317,-1.7939,-2.8951,-9.3657,-0.7415,-6.4693,-1.1731,-14.4047,7.0619,-4.8532,-1.9811,-1.884,3.3636,-3.2515,-1.2989,-1.5589,-4.3728,-12.799,1.9085,-10.6652,14.4642,-0.0752999999999986,0.113400000000000,4.7237,-7.7655,-6.6548,3.8099,-7.9923,-0.2511,-0.533,1.9093,-0.1212,4.2753,-1.9566,-4.3823,-11.2203,0.3748,-20.0411,11.5597,-0.6359,-9.9848,-6.9596,-6.0125
"316",1.5771,-1.6266,4.411,0.4805,1.3402,1.8092,-2.6677,6.6374,-9.3242,-3.704,0.100500000000000,-2.6014,4.4555,-2.8124,0.6576,4.9756,0.146200000000000,0.603,-5.8034,3.0056,2.5312,-6.7343,8.6351,-4.2505,3.8871,4.9254,0.148500000000002,-5.9735,0.7714,1.9512,-1.49570000000000,-1.5177,2.798,-1.7923,-4.2667,-0.109300000000001,-5.8119,1.5563,-1.606,-2.6892,2.3057,-0.0279999999999996,-2.821,-8.4401,1.733,2.2291,0.6204,8.6548,-6.8057,-5.5772,8.264,0.9029,1.5689,9.122,2.7191,5.9102,-4.8084,1.9423,-3.6691,0.5404,-3.2534,-1.0576,-6.7967,-0.334400000000000,4.1535,-5.6439,-7.2596,-1.4836,2.439,4.6376,-1.1229,-2.2255,-3.78,-8.2842,-0.292299999999999,-6.7494,-1.3124,-14.5905,8.0972,-4.9307,-1.5172,-2.1328,4.479,-4.0798,-0.7225,-1.5303,-3.6279,-13.7759,2.9042,-12.4127,15.1706,-0.428699999999999,-0.1876,4.4605,-7.7212,-7.8185,4.9603,-8.5631,-0.2152,0.2221,3.4843,0.7363,5.5524,-2.3998,-3.3255,-11.7042,0.6576,-18.9598,11.4556,-1.68420000000000,-9.0784,-8.0869,-5.705
"317",1.9791,-2.4712,4.9523,0.4022,1.1563,2.4039,-2.7375,6.2874,-8.9017,-2.0232,0.6024,-2.5265,4.0915,-3.3085,-0.189200000000000,5.0706,-0.469200000000001,0.3788,-5.1438,1.8159,3.1925,-6.85,8.121,-4.7389,3.7933,4.4832,0.808399999999999,-5.2469,-0.107199999999999,1.8085,-1.9435,-1.3961,2.4849,-1.7338,-4.5899,0.2979,-5.9323,1.4222,-2.0035,-3.0078,2.3658,-0.239599999999999,-3.2925,-7.1671,2.4614,2.5249,0.9892,9.0569,-6.9272,-5.6205,8.0778,0.126,1.4476,7.9961,2.2586,6.4035,-3.9798,1.3472,-3.0509,0.198400000000000,-2.3174,-0.8596,-7.6627,0.7908,3.9008,-6.9049,-7.4327,-1.2377,2.2087,5.2985,-0.8032,-2.6768,-4.5337,-7.2498,0.0546000000000006,-6.7996,-1.2845,-14.4621,8.7751,-4.9019,-1.0064,-2.2357,5.5284,-4.8846,0.1954,-1.5825,-2.5423,-14.4232,3.9185,-14.0483,15.6219,-0.706399999999999,-0.598,4.1141,-7.5917,-9.0106,5.8483,-8.9072,-0.1177,1.0355,5.3997,1.5567,6.8097,-2.6527,-1.8977,-11.9446,0.9585,-17.7178,11.3059,-2.8959,-8.1814,-8.8643,-5.5364
"318",2.5097,-3.2472,5.1675,0.308,0.7806,2.988,-2.5364,5.7483,-8.5322,-0.4759,1.0798,-2.4155,3.5451,-3.9092,-1.2038,5.1255,-1.1181,0.0276999999999994,-4.4119,0.8475,3.7483,-6.8875,7.3087,-4.8422,3.6609,4.1848,1.33300000000000,-4.332,-1.1725,1.7029,-2.38530000000000,-1.2065,2.0208,-1.3506,-4.8978,0.7845,-6.2831,1.1863,-2.5844,-3.4745,2.376,-0.4781,-3.8155,-5.8518,3.015,2.9,0.741,9.203,-6.6168,-5.6933,7.6736,-0.5399,1.2649,6.7057,1.7244,6.7772,-3.0733,0.599,-2.6052,-0.2381,-1.6081,-0.8301,-8.3831,1.8538,4.0045,-8.2606,-7.4459,-0.9458,2.3697,5.7293,-0.484,-3.1166,-5.1305,-6.3624,0.283100000000001,-6.5918,-1.1132,-14.0141,9.0835,-4.7893,-0.518000000000001,-2.1706,6.4698,-5.5543,1.3526,-1.7119,-1.1974,-14.67,4.8938,-15.4063,15.7945,-0.939,-1.022,3.7506,-7.3572,-10.1772,6.4211,-9.0584,0.0271,1.8344,7.5023,2.2496,8.0312,-2.6939,-0.207600000000000,-11.9629,1.269,-16.4504,11.1293,-4.1308,-7.3361,-9.2024,-5.4967
"319",3.1037,-3.9382,5.0433,0.2079,0.269300000000000,3.4543,-2.1392,5.1077,-8.2542,0.8022,1.4867,-2.2325,2.8776,-4.6103,-2.3286,5.0826,-1.6952,-0.366199999999999,-3.6693,0.1412,4.1311,-6.8143,6.2582,-4.4926,3.5075,4.112,1.6504,-3.2746,-2.3423,1.625,-2.7833,-0.9471,1.3992,-0.7182,-5.2305,1.3234,-6.8163,0.9216,-3.2427,-4.0581,2.3408,-0.7498,-4.3568,-4.5978,3.385,3.3355,-0.0453999999999999,9.1249,-5.919,-5.8292,7.1155,-1.0708,0.997399999999999,5.313,1.146,7.0356,-2.1543,-0.2543,-2.416,-0.7864,-1.1353,-0.9675,-8.8534,2.7138,4.4003,-9.5898,-7.239,-0.5929,2.954,5.8429,-0.2009,-3.5195,-5.5486,-5.6636,0.359600,-6.1329,-0.8448,-13.3004,9.0548,-4.6442,-0.105700000000001,-1.947,7.2561,-6.0124,2.6058,-1.9,0.3045,-14.4955,5.7748,-16.3628,15.6759,-1.13930000000000,-1.372,3.4128,-7.0195,-11.2948,6.6648,-9.0829,0.2044,2.5724,9.6119,2.7463,9.215,-2.5584,1.6031,-11.8083,1.5653,-15.2738,10.9246,-5.2746,-6.579,-9.0639,-5.5323
"320",3.6876,-4.5383,4.6476,0.0946,-0.299499999999999,3.7238,-1.6626,4.4509,-8.1046,1.7034,1.7776,-1.9486,2.1644,-5.3891,-3.4873,4.888,-2.0998,-0.7109,-2.9629,-0.28,4.328,-6.5601,5.0497,-3.676,3.3676,4.3197,1.69450000000000,-2.1415,-3.5479,1.544,-3.0943,-0.617699999999999,0.6722,0.0291999999999994,-5.6154,1.8961,-7.4256,0.7463,-3.8594,-4.7282,2.2478,-1.0303,-4.8784,-3.4886,3.5616,3.8041,-1.2321,8.8812,-4.8942,-6.0501,6.4944,-1.4826,0.625299999999999,3.8651,0.545,7.1907,-1.2882,-1.1666,-2.5493,-1.4543,-0.8892,-1.2678,-9.0013,3.2752,4.9973,-10.7542,-6.7916,-0.1757,3.9422,5.6139,-0.00859999999999994,-3.8761,-5.7622,-5.1686,0.2493,-5.4722,-0.5425,-12.4225,8.7531,-4.5323,0.211300000000000,-1.593,7.8356,-6.2338,3.8037,-2.1177,1.8534,-13.9386,6.5002,-16.8605,15.2701,-1.30090000000000,-1.5991,3.1088,-6.6063,-12.3473,6.6048,-9.0516,0.4088,3.2349,11.5601,3.0097,10.3521,-2.3161,3.3848,-11.5377,1.8133,-14.2529,10.6531,-6.266,-5.9397,-8.4494,-5.5803
"321",4.2175,-5.0245,4.0934,-0.0479000000000001,-0.8532,3.7775,-1.22620000000000,3.8477,-8.105,2.1726,1.9189,-1.5485,1.47780000000000,-6.2079,-4.5889,4.5136,-2.2541,-0.927900000000001,-2.3106,-0.4294,4.3592,-6.0533,3.7791,-2.4493,3.2823,4.8335,1.41380000000000,-1.0203,-4.7329,1.4022,-3.2604,-0.217499999999999,-0.0519000000000016,0.7409,-6.038,2.5127,-7.9757,0.7778,-4.3388,-5.4499,2.08140000000000,-1.2761,-5.3253,-2.5694,3.533,4.2712,-2.6535,8.5429,-3.6064,-6.3549,5.907,-1.8032,0.138800000000000,2.4033,-0.0604000000000013,7.2519,-0.538,-2.0964,-3.051,-2.2255,-0.8378,-1.6962,-8.8138,3.504,5.7038,-11.6259,-6.1382,0.2838,5.2599,5.0916,0.0421999999999998,-4.1933,-5.7439,-4.9065,-0.0494000000000003,-4.6895,-0.2787,-11.4924,8.2554,-4.515,0.449300000000001,-1.1479,8.166,-6.2494,4.8034,-2.3307,3.3475,-13.0964,6.9937,-16.9093,14.6095,-1.4071,-1.7064,2.8118,-6.1581,-13.2908,6.31,-9.0169,0.6362,3.8288,13.2219,3.0257,11.4059,-2.0423,4.9977,-11.1919,1.9765,-13.4061,10.2403,-7.0885,-5.4389,-7.3849,-5.5947
"322",4.6871,-5.3402,3.4927,-0.231,-1.3491,3.6568,-0.9221,3.35,-8.2502,2.2258,1.8934,-1.0325,0.8798,-7.0067,-5.5478,3.9758,-2.1135,-0.979600000000001,-1.7104,-0.3574,4.2606,-5.2751,2.5559,-0.9375,3.2741,5.6469,0.795300000000001,-0.0150000000000001,-5.8482,1.1193,-3.2214,0.2583,-0.6496,1.2855,-6.4324,3.2043,-8.3428,1.0945,-4.628,-6.1805,1.8427,-1.4557,-5.6288,-1.8474,3.2845,4.708,-4.1419,8.1743,-2.1391,-6.7106,5.4337,-2.0527,-0.4621,0.9734,-0.645,7.2208,0.0480999999999998,-3.0021,-3.9376,-3.0476,-0.9223,-2.1834,-8.3473,3.4053,6.4487,-12.1262,-5.3606,0.7313,6.7806,4.3741,-0.0717999999999996,-4.4861,-5.4776,-4.9271,-0.485399999999999,-3.869,-0.126200000000000,-10.6005,7.623,-4.6375,0.6393,-0.6585,8.2319,-6.14,5.4746,-2.5043,4.7121,-12.0962,7.1707,-16.5636,13.7574,-1.44590000000000,-1.7419,2.4727,-5.7183,-14.0396,5.8831,-9.0018,0.8623,4.3724,14.5207,2.794,12.3106,-1.8044,6.3175,-10.7967,2.0254,-12.7324,9.604,-7.7419,-5.0913,-5.9228,-5.558
