"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113"
"106",-6.619,-1.1492,1.543,2.1309,-1.99,4.2764,3.9182,2.0512,-2.3383,-3.2265,3.6458,6.3362,-0.151800000000000,6.0126,-4.6458,0.2163,-1.3445,3.6261,-6.4296,-4.0711,4.7979,4.0316,5.298,-6.6013,3.6481,-2.0395,-0.8478,-1.3541,4.4371,3.8113,2.186,-4.2649,-0.9213,5.4146,-5.7001,2.152,0.7436,-2.6822,-7.1213,0.0166999999999999,-1.7664,-0.767,2.7378,-5.0746,5.297,5.592,0.0310000000000006,-0.207100000000001,-3.8385,-4.896,3.1775,2.7724,3.6028,0.6834,-2.0494,2.427,-7.1897,-6.0603,-1.1574,0.0795000000000003,-5.7908,-1.4065,2.911,3.2788,2.6456,1.0605,5.0216,4.8367,-0.5073,3.1856,-1.1304,2.7324,10.7109,1.5737,-0.174300000000001,5.2723,-2.3779,-7.4467,7.8556,4.4993,-0.2743,-3.4645,2.8017,3.2201,2.7079,6.3185,3.2,3.0575,-0.6385,2.5265,2.4524,-5.1938,0.9242,-8.0818,-7.0787,-5.473,2.7826,7.2026,2.4091,6.5338,3.9238,5.1188,-3.0578,0.6822,0.529500000000001,-3.6214,1.7795,3.0929,2.1913,2.9727,2.1901,-0.6844,0.7522
"107",-6.1016,-0.878,1.5067,2.0289,-2.8841,4.5634,3.5975,2.3871,-2.665,-3.0115,5.2172,6.6216,-1.0338,5.994,-4.4382,-0.0897,-1.8371,2.8271,-6.2292,-4.9022,4.5105,3.1818,4.758,-7.555,3.1231,-2.5516,-0.8272,-1.5161,3.4136,3.0534,2.1495,-4.2479,-1.2216,4.7792,-6.1331,2.012,1.5621,-1.6686,-7.7827,0.8435,-1.9913,-1.3803,2.0441,-4.0043,4.8109,5.2426,-0.0889999999999995,-0.7234,-3.85,-5.4649,2.7353,3.1382,3.9841,0.6825,-2.4274,2.8659,-7.438,-5.3527,-0.781,-0.3132,-5.46,-1.6133,3.0184,3.5175,2.5869,1.1453,4.5884,5.2597,0.0964999999999998,2.6546,-1.4468,2.6847,10.5584,1.5282,-0.306200000000000,5.4863,-2.1105,-7.396,8.2506,5.3344,0.1854,-3.4642,2.6181,1.8764,2.0619,6.3998,3.7401,2.0794,0.465,2.1736,2.1161,-4.8145,1.02,-7.6624,-8.1482,-5.7228,2.6361,7.5335,1.1555,6.7141,3.9195,5.0081,-2.8081,0.477,0.5126,-3.3642,1.9978,3.5481,2.0335,2.7752,2.5464,-0.4324,0.8105
"108",-5.2465,-0.711699999999999,1.5207,1.9471,-3.7784,4.6508,3.494,2.8687,-3.0566,-3.1176,6.79,6.7943,-1.7366,5.6463,-4.1141,-0.4364,-2.262,2.1901,-5.706,-5.5442,4.2198,2.0925,4.2181,-8.4081,2.5748,-3.1703,-0.6495,-1.9203,2.0978,2.3302,2.1235,-3.8949,-1.3606,4.2919,-6.3476,1.7935,2.0904,-0.7428,-8.1573,1.7586,-2.2079,-1.8292,1.4775,-2.866,4.2079,4.6662,-0.292100000000000,-1.2825,-3.605,-5.8363,2.1327,3.3845,4.216,0.6865,-2.6556,3.3303,-7.5753,-4.5323,-0.4001,-0.9448,-5.0278,-1.7128,3.1553,3.7118,2.586,1.4092,4.0973,5.5539,0.7646,2.0032,-1.8632,2.7427,10.1854,1.3084,-0.4183,5.5935,-1.8458,-7.1973,8.3373,5.9815,0.6897,-3.1569,2.5274,0.5097,1.5388,6.5519,4.1677,1.145,1.5837,1.7776,1.9337,-4.4375,1.1046,-7.3864,-8.958,-5.7682,2.6816,7.8429,0.136000000000000,6.8501,3.9862,4.8958,-2.4823,0.1783,0.6248,-2.949,2.4265,4.0213,1.8918,2.5673,3.0213,-0.1321,1.0529
"109",-4.0739,-0.730599999999999,1.6283,1.8814,-4.5705,4.5918,3.6258,3.4492,-3.4919,-3.4899,8.2388,6.8931,-2.1646,4.9956,-3.6849,-0.8116,-2.5362,1.7021,-4.9471,-5.9313,3.9155,0.8865,3.7065,-9.0446,2.0525,-3.7955,-0.3514,-2.5117,0.6319,1.6972,2.0741,-3.2391,-1.3638,3.9461,-6.3248,1.5629,2.2577,0.00959999999999983,-8.2038,2.6711,-2.4031,-2.1224,1.0834,-1.792,3.5646,3.9407,-0.54,-1.8182,-3.145,-5.946,1.4346,3.4802,4.2628,0.6573,-2.6843,3.8273,-7.5942,-3.5991,-0.0926,-1.7658,-4.5252,-1.6808,3.273,3.8758,2.6029,1.8135,3.5432,5.6983,1.439,1.2809,-2.3539,2.9288,9.6323,0.9107,-0.5042,5.6639,-1.5939,-6.923,8.1024,6.4398,1.1111,-2.5862,2.4485,-0.79,1.1926,6.7597,4.3612,0.3361,2.6463,1.3567,1.8472,-4.1188,1.2376,-7.2505,-9.388,-5.5742,2.9011,8.1542,-0.5977,6.8761,4.1493,4.809,-2.0935,-0.0989,0.8905,-2.4525,3.0654,4.4509,1.7787,2.3523,3.5374,0.1747,1.404
"110",-2.6514,-0.9476,1.842,1.8053,-5.1777,4.4762,3.9688,4.0906,-3.9659,-4.0279,9.4641,6.9403,-2.2685,4.109,-3.1865,-1.1873,-2.5934,1.3532,-4.05,-6.0211,3.5829,-0.301,3.2224,-9.3769,1.5948,-4.3121,0.00299999999999989,-3.1954,-0.8019,1.1936,1.9891,-2.3326,-1.2632,3.7107,-6.0927,1.4151,2.051,0.5412,-7.9345,3.4812,-2.5677,-2.2957,0.8914,-0.8608,2.9709,3.1481,-0.7849,-2.2653,-2.5407,-5.755,0.7262,3.4016,4.1118,0.5508,-2.4908,4.3522,-7.4944,-2.5655,0.0700000000000003,-2.7074,-3.9938,-1.5231,3.3217,4.0193,2.6023,2.2912,2.9337,5.6811,2.0575,0.5494,-2.8907,3.2384,8.9552,0.3442,-0.585,5.7618,-1.3377,-6.6202,7.5645,6.8343,1.3409,-1.8768,2.279,-1.9655,1.0571,6.9883,4.2357,-0.2767,3.5994,0.924,1.7863,-3.9069,1.4836,-7.207,-9.3646,-5.1183,3.229,8.4904,-1.0324,6.7351,4.3953,4.7761,-1.6737,-0.2508,1.3017,-1.9658,3.8951,4.7752,1.7056,2.1686,3.9871,0.4653,1.7974
"111",-1.1002,-1.293,2.1378,1.677,-5.538,4.4043,4.4553,4.7614,-4.4889,-4.6128,10.396,6.9506,-2.0492,3.0696,-2.6586,-1.5357,-2.3898,1.1535,-3.1092,-5.7976,3.2024,-1.3472,2.7514,-9.374,1.239,-4.6128,0.3403,-3.8577,-2.0274,0.8237,1.8763,-1.2238,-1.0848,3.5499,-5.7119,1.4438,1.5108,0.848699999999999,-7.4132,4.0915,-2.7027,-2.3939,0.9137,-0.0964,2.4984,2.3582,-0.9757,-2.5754,-1.8894,-5.2602,0.1057,3.1359,3.7697,0.3293,-2.0902,4.8857,-7.2819,-1.4627,0.0346000000000002,-3.6898,-3.4883,-1.2763,3.2705,4.152,2.568,2.7637,2.2889,5.5074,2.5651,-0.133600000000000,-3.4416,3.6486,8.2168,-0.3763,-0.6861,5.9253,-1.0477,-6.3161,6.7753,7.3264,1.323,-1.1838,1.9317,-2.9758,1.1301,7.1935,3.7724,-0.6386,4.4155,0.4956,1.6995,-3.8309,1.8551,-7.1747,-8.8851,-4.4127,3.5752,8.8753,-1.1831,6.4096,4.6827,4.8217,-1.2667,-0.208900000000000,1.8212,-1.5712,4.8701,4.9478,1.6629,2.0727,4.2562,0.7527,2.1984
"112",0.4056,-1.6408,2.4665,1.4533,-5.613,4.464,4.9847,5.429,-5.0807,-5.1395,10.996,6.9386,-1.5446,1.9577,-2.1348,-1.8387,-1.9163,1.135,-2.2079,-5.2799,2.7639,-2.1642,2.2871,-9.0642,1.0234,-4.6232,0.598,-4.4028,-2.9123,0.5521,1.7506,0.0407999999999999,-0.8434,3.4423,-5.2477,1.7051,0.7151,0.9644,-6.737,4.4239,-2.8144,-2.4586,1.1415,0.5204,2.1746,1.6286,-1.0625,-2.7243,-1.3051,-4.4962,-0.3261,2.6895,3.2553,-0.0236000000000001,-1.5405,5.3908,-6.9686,-0.3438,-0.223600000000000,-4.6326,-3.0658,-0.998,3.118,4.2864,2.5054,3.1625,1.6406,5.2061,2.9158,-0.7334,-3.9738,4.1169,7.4764,-1.2293,-0.8201,6.1669,-0.709199999999999,-6.0269,5.8264,8.0102,1.064,-0.6383,1.3651,-3.7662,1.3742,7.3287,3.0216,-0.7098,5.0931,0.0947,1.5669,-3.9011,2.2832,-7.0707,-8.0231,-3.5188,3.8521,9.3301,-1.0909,5.9216,4.9578,4.9576,-0.9207,0.0466999999999995,2.3881,-1.3269,5.9207,4.9464,1.6246,2.1097,4.2562,1.0792,2.6027
"113",1.6643,-1.8561,2.7747,1.1085,-5.3948,4.7132,5.4508,6.0589,-5.7518,-5.5321,11.2617,6.91,-0.8143,0.8413,-1.633,-2.0795,-1.2121,1.3365,-1.4173,-4.5243,2.2797,-2.7098,1.8371,-8.5164,0.9743,-4.328,0.7323,-4.7815,-3.3897,0.3119,1.6267,1.4053,-0.5533,3.3839,-4.7467,2.2031,-0.2367,0.9397,-6.01,4.4372,-2.9064,-2.5247,1.5504,1.0259,1.9761,1.0063,-1.0061,-2.7122,-0.9028,-3.5309,-0.4866,2.0934,2.5909,-0.4954,-0.9324,5.8167,-6.569,0.719,-0.6938,-5.4636,-2.7641,-0.7533,2.8865,4.4375,2.4325,3.442,1.0322,4.8366,3.0724,-1.2464,-4.4557,4.5808,6.7816,-2.1777,-0.9857,6.4773,-0.335700000000001,-5.761,4.8387,8.8739,0.6106,-0.3138,0.5962,-4.2718,1.7366,7.3514,2.0891,-0.4658,5.6569,-0.252600000000000,1.3967,-4.1102,2.6558,-6.8338,-6.9111,-2.533,3.9867,9.8756,-0.8192,5.3094,5.1713,5.1699,-0.6761,0.489999999999999,2.9195,-1.262,6.9649,4.7768,1.5663,2.2881,3.9461,1.4945,3.0136
"114",2.5049,-1.8296,3.0229,0.6467,-4.9167,5.1617,5.7741,6.6155,-6.4895,-5.7493,11.2301,6.8542,0.0709999999999997,-0.2282,-1.1486,-2.231,-0.362,1.7874,-0.8025,-3.6176,1.7765,-2.9908,1.4143,-7.8136,1.0926,-3.78,0.7215,-4.9889,-3.4646,0.0235999999999996,1.5189,2.8041,-0.238700000000001,3.3726,-4.2305,2.8964,-1.2385,0.8284,-5.3167,4.1414,-2.9701,-2.6195,2.1034,1.4488,1.8415,0.529100000000001,-0.7876,-2.5578,-0.7743,-2.4609,-0.3396,1.4034,1.8013,-1.0488,-0.365799999999997,6.1068,-6.094,1.6416,-1.3322,-6.1285,-2.5884,-0.5984,2.6137,4.6158,2.3701,3.585,0.5068,4.477,3.0139,-1.688,-4.8616,4.9722,6.162,-3.1589,-1.1733,6.8223,0.0403000000000002,-5.5315,3.9471,9.8327,0.0249999999999999,-0.2325,-0.3026,-4.4638,2.1661,7.2361,1.1112,0.0937000000000001,6.1596,-0.5244,1.2042,-4.4208,2.8835,-6.4342,-5.7117,-1.558,3.9213,10.5316,-0.4392,4.6021,5.2909,5.4122,-0.5446,1.0668,3.3162,-1.3716,7.9216,4.468,1.4734,2.571,3.3418,2.0335,3.4195
"115",2.8438,-1.4891,3.1912,0.103600000000000,-4.257,5.7608,5.9069,7.0676,-7.2544,-5.786,10.9732,6.751,1.0378,-1.2205,-0.6425,-2.2642,0.5198,2.4934,-0.4266,-2.6612,1.2887,-3.0474,1.0237,-7.0336,1.3475,-3.0892,0.5619,-5.042,-3.1976,-0.3801,1.4435,4.172,0.0754999999999999,3.3945,-3.712,3.7074,-2.1844,0.6801,-4.7107,3.6015,-2.9861,-2.7559,2.7511,1.8042,1.6943,0.2249,-0.4104,-2.2838,-0.9653,-1.3991,0.0919,0.6926,0.9163,-1.6311,0.073999999999998,6.2079,-5.5451,2.3424,-2.0782,-6.5971,-2.5169,-0.5634,2.3415,4.8219,2.3357,3.5954,0.0942,4.2041,2.7489,-2.0718,-5.1732,5.2383,5.6308,-4.0893,-1.3683,7.1391,0.391,-5.372,3.2755,10.78,-0.6286,-0.3926,-1.2197,-4.3963,2.6148,6.9822,0.217,0.9399,6.6687,-0.701,0.9961,-4.7651,2.933,-5.8785,-4.5804,-0.6823,3.6187,11.3077,-0.0138000000000000,3.8118,5.3121,5.6141,-0.4921,1.7146,3.4793,-1.6078,8.7192,4.0621,1.3337,2.8924,2.5139,2.6929,3.8001
