"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114"
"68",4.8521,2.8404,-0.4921,-5.2253,-3.5269,-0.8384,2.0225,-3.9678,6.1648,-5.5939,-6.7917,2.9208,3.0731,0.7886,0.2992,-1.5005,-0.6244,3.8649,0.2307,3.8463,-3.0132,-3.1609,-1.6679,6.6693,5.9821,-0.2149,-6.0463,-4.5448,-1.0689,-2.1643,1.9363,-2.1764,3.4287,0.6782,0.6966,0.3138,-2.52,4.6226,5.2813,5.5028,1.3283,-2.9103,0.130800000000000,3.3671,2.3613,0.7999,-6.1173,5.4027,1.1536,3.198,0.6071,3.3076,-0.412500000000001,-0.9,-4.6732,-0.3646,5.3666,1.7853,2.8547,0.7852,-8.5084,-3.8702,5.4383,-4.6825,-1.5412,-4.7381,-1.3659,1.0112,0.7141,-3.5056,1.2757,0.41,-2.7652,-2.3579,3.2033,0.7264,-3.0791,1.6054,1.6762,6.7155,-1.0042,-4.6865,-0.9253,2.1537,-3.4031,1.2969,-3.5369,-2.2853,1.4622,4.3007,6.0192,5.7612,0.3299,-0.4251,6.0909,0.2245,-6.5153,2.2344,-0.2648,-3.2097,-1.9142,3.212,-2.1979,-0.7977,-1.8499,-3.0878,-0.681,2.2104,-4.6473,1.612,-3.291,0.8114,6.9121,-0.0864
"69",5.0996,2.0637,-1.4005,-5.5677,-2.8652,-1.2171,2.1252,-4.6276,5.5174,-6.2545,-6.3125,3.31,3.5149,0.9034,-0.211,-1.5235,-0.4369,4.049,0.4766,4.1279,-3.4201,-3.1706,-1.876,6.6849,5.6875,-0.0823,-5.8524,-4.8632,-0.6804,-2.4257,1.6008,-2.5667,3.7926,0.4054,0.6914,0.155900000000000,-3.4132,4.7353,3.8852,5.1219,1.8046,-2.72,0.0125000000000002,3.4799,1.7661,1.0032,-6.1882,5.3343,0.160300000000000,4.5336,1.5422,2.1135,-2.1947,-1.3976,-4.2928,-0.6603,4.9992,2.4953,3.0653,0.9026,-7.787,-3.1272,6.0754,-3.9732,-2.334,-3.9836,-0.8165,1.0467,0.5388,-3.4178,0.4196,-0.4077,-2.9971,-1.8687,3.3358,0.8834,-2.32,1.7425,2.0321,6.7815,-1.3501,-5.2902,-1.1511,2.5896,-3.9739,1.5454,-3.184,-2.4395,1.2087,4.2688,5.786,6.7657,0.3106,-2.2638,5.7451,1.3766,-6.6188,1.7723,-1.5996,-3.3528,-4.325,3.5624,-2.0124,-1.0412,-1.3252,-3.6734,-0.2468,3.2295,-4.257,1.8262,-3.5862,1.0778,6.7472,-0.7369
"70",5.2311,1.2924,-1.9813,-5.5643,-2.0318,-1.3804,2.1323,-5.2574,4.564,-6.9152,-5.81,3.3383,3.8801,0.9829,-0.8035,-1.4637,-0.2493,3.967,0.7873,4.2035,-3.7473,-3.1703,-2.2009,6.3214,5.6242,-0.132300000000000,-5.4409,-4.9098,-0.2067,-2.4965,1.3257,-2.9629,4.0217,-0.004,0.7601,0.0944000000000003,-4.5829,4.5442,2.7025,4.7207,2.2541,-2.6151,0.0254000000000003,3.4589,0.9924,1.1039,-5.9695,5.3705,-0.6567,5.4959,2.3695,0.7085,-4.1028,-1.9315,-3.7155,-0.7285,4.4055,3.3353,3.3471,0.995,-6.9437,-2.289,6.4635,-3.1616,-3.1025,-3.1161,-0.3677,1.2166,0.536,-3.5765,-0.132500000000000,-1.0621,-3.1581,-1.429,3.2375,0.9176,-1.6818,1.9653,2.0248,6.6582,-1.5582,-5.6375,-1.0479,2.927,-4.527,1.5994,-2.6995,-2.4042,1.1359,3.9928,5.5631,7.3917,0.4049,-4.1897,5.05,2.4101,-6.5332,1.486,-2.8432,-3.08,-7.0537,3.7184,-2.1088,-1.2444,-0.861,-3.9268,0.2414,4.0663,-3.8532,1.7494,-3.7904,1.3479,6.7392,-1.4819
"71",5.2855,0.5723,-2.1828,-5.2866,-1.1052,-1.2705,2.0587,-5.7446,3.4218,-7.4941,-5.3175,3.0045,4.1083,0.993,-1.5496,-1.3045,-0.115800000000000,3.6132,1.136,4.0734,-3.9311,-3.1221,-2.6763,5.6068,5.7722,-0.3598,-4.8152,-4.7112,0.3353,-2.3022,1.1566,-3.3058,4.0514,-0.5397,0.8554,0.0836999999999999,-5.9483,4.1118,1.863,4.3107,2.6585,-2.6073,0.167800000000000,3.3948,0.101,1.1201,-5.4547,5.5244,-1.2134,6.0618,3.0223,-0.8134,-5.9384,-2.4702,-2.9965,-0.5172,3.6012,4.2586,3.6641,1.0979,-6.088,-1.4554,6.5329,-2.3938,-3.8863,-2.1594,-0.0704,1.5097,0.7054,-4.0214,-0.394,-1.514,-3.2882,-1.0742,2.8935,0.7836,-1.2486,2.2755,1.6602,6.35,-1.6506,-5.652,-0.6856,3.151,-4.9851,1.4754,-2.1888,-2.1951,1.2007,3.5427,5.374,7.6376,0.566800000000001,-6.0506,4.0781,3.169,-6.273,1.4417,-3.9007,-2.3724,-9.8507,3.7342,-2.4945,-1.356,-0.4625,-3.8175,0.8011,4.6719,-3.3907,1.3665,-3.9133,1.6562,6.8626,-2.2789
"72",5.291,-0.0461,-2.027,-4.8231,-0.2088,-0.8926,1.9389,-5.9826,2.2073,-7.9217,-4.8715,2.3726,4.1433,0.9366,-2.4652,-1.0499,-0.0817000000000001,3.0102,1.5061,3.7677,-3.9271,-2.9827,-3.2814,4.6111,6.0654,-0.7116,-4.0013,-4.2993,0.914,-1.8041,1.1201,-3.5441,3.8292,-1.1853,0.9402,0.0564999999999998,-7.379,3.508,1.4293,3.9248,3.0143,-2.6905,0.4381,3.3772,-0.8198,1.0636,-4.682,5.7689,-1.4615,6.2501,3.4742,-2.3437,-7.4874,-2.9811,-2.2144,-0.0248999999999999,2.6481,5.1758,3.9736,1.2471,-5.3248,-0.6993,6.2737,-1.7782,-4.6811,-1.1706,0.0445,1.882,1.0171,-4.7398,-0.4177,-1.7768,-3.4293,-0.8144,2.3145,0.4308,-1.0495,2.6547,1.006,5.8811,-1.6547,-5.3053,-0.1671,3.2714,-5.2841,1.1842,-1.7442,-1.8378,1.3326,2.9788,5.2261,7.5469,0.7503,-7.7015,2.8916,3.5439,-5.8653,1.6554,-4.6933,-1.2832,-12.2892,3.6786,-3.1439,-1.3571,-0.1578,-3.3599,1.4395,5.0213,-2.8241,0.707,-3.9708,2.0418,7.053,-3.0645
"73",5.2575,-0.516900000000001,-1.593,-4.2751,0.5151,-0.313,1.8043,-5.8986,1.0102,-8.1439,-4.5002,1.5435,3.9455,0.857,-3.4938,-0.7326,-0.169500000000000,2.2126,1.8908,3.3454,-3.7195,-2.7316,-3.9388,3.4341,6.4083,-1.097,-3.0623,-3.7078,1.4979,-0.9988,1.2194,-3.6353,3.3407,-1.8939,0.9811,-0.0513999999999999,-8.7217,2.7888,1.3843,3.598,3.3388,-2.8389,0.8303,3.4743,-1.6709,0.931,-3.7303,6.0378,-1.3964,6.1259,3.7283,-3.7645,-8.5504,-3.4302,-1.4548,0.7048,1.6365,5.9723,4.2261,1.4619,-4.738,-0.0485,5.7457,-1.3668,-5.4347,-0.2322,-0.0231,2.2664,1.4201,-5.6625,-0.2841,-1.9082,-3.6103,-0.6627,1.5311,-0.1736,-1.0638,3.0536,0.1814,5.2845,-1.603,-4.6234,0.3942,3.317,-5.363,0.732199999999999,-1.426,-1.3661,1.4562,2.3458,5.1217,7.185,0.9157,-9.0274,1.5441,3.4934,-5.3558,2.0986,-5.1704,0.0613999999999999,-13.8851,3.6166,-4.0037,-1.2727,0.003,-2.613,2.1415,5.1115,-2.1259,-0.1521,-3.9815,2.5516,7.2277,-3.7581
"74",5.1851,-0.8,-0.9909,-3.7438,0.9501,0.3567,1.6713,-5.469,-0.122900000000001,-8.1196,-4.2014,0.6278,3.508,0.82,-4.5193,-0.4082,-0.3754,1.3092,2.2818,2.8917,-3.3138,-2.38,-4.5407,2.173,6.7001,-1.4204,-2.0989,-2.9769,2.0556,0.0767,1.4259,-3.5514,2.6278,-2.5851,0.946,-0.2736,-9.829,1.9896,1.6409,3.3441,3.6611,-3.0093,1.3291,3.719,-2.3639,0.7022,-2.7015,6.2386,-1.0621,5.7872,3.8008,-4.9637,-8.9791,-3.7773,-0.7873,1.597,0.6539,6.531,4.3699,1.7344,-4.3728,0.5171,5.0564,-1.1614,-6.0599,0.5601,-0.2279,2.5949,1.8597,-6.6701,-0.0834,-1.9874,-3.8382,-0.6424,0.5861,-1.0256,-1.236,3.3928,-0.6589,4.5972,-1.5296,-3.6791,0.888,3.3247,-5.1594,0.129000000000000,-1.2594,-0.8229,1.5102,1.6777,5.0655,6.6116,1.0363,-9.9613,0.0922,3.044,-4.8063,2.7077,-5.3201,1.4757,-14.2853,3.5856,-4.9949,-1.159,-0.0322,-1.6714,2.8743,4.956,-1.2963,-1.0945,-3.965,3.2291,7.3135,-4.2743
"75",5.0805,-0.8636,-0.3299,-3.3079,1.0491,0.9868,1.5367,-4.7233,-1.1752,-7.8211,-3.9329,-0.2635,2.8653,0.8932,-5.3956,-0.136900000000000,-0.6747,0.4197,2.6567,2.5079,-2.7304,-1.9626,-4.9896,0.8955,6.8571,-1.6103,-1.2296,-2.1584,2.542,1.3358,1.6727,-3.2891,1.7883,-3.1623,0.8155,-0.5957,-10.5898,1.1362,2.0786,3.1541,4.0092,-3.152,1.9069,4.108,-2.8338,0.3499,-1.7003,6.2752,-0.5397,5.3475,3.7078,-5.8559,-8.7023,-3.98,-0.247100000000001,2.5643,-0.2402,6.75,4.3594,2.0258,-4.2268,1.0535,4.317,-1.1291,-6.4649,1.1129,-0.4819,2.8189,2.2936,-7.61,0.1054,-2.0839,-4.0962,-0.7714,-0.47,-2.0777,-1.4863,3.5811,-1.3533,3.8647,-1.4601,-2.5828,1.217,3.3254,-4.6159,-0.6065,-1.2391,-0.2644,1.4552,1.0046,5.0597,5.8651,1.097,-10.4898,-1.385,2.2814,-4.276,3.3914,-5.1752,2.743,-13.4005,3.5922,-6.0144,-1.0804,-0.2855,-0.6422,3.5993,4.5783,-0.3681,-1.9911,-3.944,4.0933,7.2605,-4.5425
"76",4.9757,-0.6851,0.3007,-2.9964,0.8518,1.4627,1.3804,-3.7392,-2.1318,-7.2465,-3.6301,-1.021,2.0828,1.1369,-5.9834,0.0375,-1.0331,-0.3243,2.9785,2.2866,-2.008,-1.5232,-5.2249,-0.3554,6.8283,-1.6266,-0.5624,-1.3116,2.8983,2.6485,1.865,-2.8844,0.9584,-3.5386,0.5948,-0.9593,-10.957,0.260800000000000,2.5865,3.0059,4.4042,-3.228,2.5184,4.6099,-3.0418,-0.1386,-0.8184,6.0727,0.0713,4.9135,3.46,-6.4028,-7.7354,-4.0057,0.173500000000001,3.5279,-1.0213,6.5549,4.1674,2.2772,-4.2576,1.6321,3.6126,-1.2144,-6.5897,1.3556,-0.6769,2.9169,2.7012,-8.3278,0.2341,-2.2369,-4.3503,-1.0395,-1.576,-3.2464,-1.7182,3.5401,-1.7759,3.1457,-1.3996,-1.4694,1.3097,3.3298,-3.7053,-1.4373,-1.3342,0.2457,1.2759,0.3545,5.0952,4.97,1.0943,-10.6493,-2.7772,1.3317,-3.7945,4.0405,-4.8093,3.6576,-11.4116,3.6245,-6.9441,-1.0898,-0.7265,0.3818,4.2746,4.0144,0.601,-2.7273,-3.9382,5.1224,7.0432,-4.5301
"77",4.9296,-0.2531,0.8419,-2.7846,0.4695,1.718,1.178,-2.6241,-2.9583,-6.4397,-3.2421,-1.5436,1.2409,1.5949,-6.184,0.0946,-1.4158,-0.8146,3.2073,2.2788,-1.2119,-1.1008,-5.2231,-1.5302,6.6019,-1.4538,-0.174800000000000,-0.4988,3.0739,3.8746,1.9119,-2.4071,0.2846,-3.651,0.3167,-1.2783,-10.9622,-0.5913,3.0969,2.8732,4.8607,-3.2225,3.1055,5.1723,-2.9708,-0.7378,-0.121400000000000,5.5931,0.6732,4.5654,3.0668,-6.6234,-6.1711,-3.846,0.5167,4.4331,-1.6946,5.9074,3.7963,2.4249,-4.4076,2.319,2.9853,-1.3518,-6.4291,1.2534,-0.7222,2.8867,3.0808,-8.6951,0.2935,-2.4492,-4.5596,-1.4011,-2.6512,-4.4185,-1.8354,3.227,-1.8762,2.4971,-1.3287,-0.4847,1.1334,3.3208,-2.4499,-2.2997,-1.4922,0.6494,0.9834,-0.2479,5.1482,3.9528,1.0284,-10.5131,-3.9521,0.3339,-3.3457,4.5458,-4.3228,4.0682,-8.6819,3.6682,-7.6703,-1.215,-1.2743,1.3352,4.8474,3.3169,1.5485,-3.2231,-3.9533,6.2449,6.6501,-4.2587
