"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111"
"332",2.069,-2.5808,-1.5638,3.7091,3.7071,-8.7634,-3.6608,-6.2126,2.6365,-1.4984,-4.0855,-3.5713,5.2212,4.6695,-6.7229,0.985599999999998,1.6709,-6.502,3.2977,4.9448,-2.605,-0.233500000000000,-2.7416,-3.0938,-7.7099,-5.1019,8.6826,3.8099,1.089,-1.8989,1.3402,5.5164,-4.6078,4.1391,-0.5511,-0.541599999999999,1.9343,-1.062,1.4007,-4.096,4.3482,-3.9588,-9.1785,-1.3515,-2.1444,-1.4806,-2.8106,-1.1097,10.0374,-2.9248,-3.1973,-7.1002,-1.4526,9.5489,-2.2394,8.112,1.7735,-4.9707,3.6661,-7.4537,-3.2602,-0.958,-11.9565,2.9599,10.5327,9.9136,-0.8091,7.8779,1.9431,6.1744,-2.5612,-6.4008,-3.4977,-0.00389999999999979,-4.4489,1.9837,-12.1233,-5.8564,1.1829,-5.908,2.6303,3.0905,0.2379,0.0939,6.472,-7.3948,-4.4678,3.3142,-6.415,4.6948,0.5365,-0.986500000000003,-6.0273,-0.9691,8.1538,-2.0406,-2.39,3.3709,0.4085,-6.1207,-2.1133,-2.4503,4.873,0.244800000000000,-5.4468,-6.0444,-8.1185,0.8288,0.0697000000000001,3.0726,-0.164899999999999
"333",2.7419,-2.4261,-1.5791,3.6314,4.0041,-8.118,-2.8085,-7.1343,3.966,-1.2479,-4.2324,-3.9841,5.9726,4.8717,-6.8153,2.3231,0.6075,-6.2563,4.0868,5.6915,-1.3676,-0.3529,-2.6509,-2.9615,-7.7166,-5.2231,7.7452,3.0112,0.9632,-2.3497,1.50250000000000,5.5894,-3.6068,4.2947,-0.7272,-0.795800000000002,1.4702,-0.9831,1.8117,-4.7037,4.6259,-4.077,-9.8447,-2.0558,-2.3967,-1.1513,-2.6874,-1.083,9.3411,-3.3488,-4.1505,-6.642,-0.7035,9.5486,-2.2958,7.5379,1.4198,-4.0702,3.1008,-7.1997,-3.4249,-1.06050000000000,-12.1211,2.7652,10.1818,8.8724,-1.0256,8.2786,1.9921,5.9943,-2.571,-6.5908,-2.69,-0.111699999999999,-4.4576,2.484,-11.089,-5.4847,0.708500000000001,-5.9674,1.8656,3.1288,0.0888999999999989,-0.2865,6.7755,-7.8487,-4.6468,2.56990000000000,-6.0546,4.5123,0.5122,-1.1688,-6.3854,0.299899999999999,9.0906,-1.8182,-2.8077,3.4872,0.9716,-5.9062,-2.1751,-2.1351,4.3025,0.2153,-5.5035,-6.4382,-8.0122,0.267700000000000,0.332900000000000,3.197,0.465400000000001
"334",3.4458,-2.2484,-1.3916,3.702,4.2348,-7.4406,-1.74,-7.9907,5.1515,-0.9656,-4.5963,-4.1486,6.7607,5.2404,-6.95,3.5935,-0.2294,-6.159,4.6799,6.3559,-0.0583999999999989,-0.335999999999999,-2.7009,-2.8779,-7.5996,-5.3788,6.5119,2.3409,0.916799999999999,-2.6639,1.6858,5.868,-2.6227,4.6032,-0.9616,-1.1779,1.0602,-0.816600000000001,2.1507,-5.3464,4.6883,-3.9766,-10.3433,-2.8151,-2.6948,-0.7049,-2.6026,-0.973799999999999,8.6375,-3.9587,-5.0498,-6.1983,0.187,9.3543,-2.4114,6.7903,1.0975,-3.2489,2.3263,-6.8185,-3.3803,-1.2298,-12.2582,2.524,9.6736,7.6822,-1.31,8.6561,1.8092,5.7097,-2.4665,-6.8775,-1.9775,-0.226000000000001,-4.2988,3.036,-10.0967,-5.0063,0.250700000000002,-6.0532,1.1735,2.9096,-0.152699999999999,-0.4385,7.0658,-8.0946,-4.8612,1.68020000000000,-5.7083,4.1713,0.552899999999999,-1.3533,-6.6636,1.6594,9.9977,-1.6953,-3.0003,3.4027,1.7545,-5.9044,-2.2103,-1.9308,3.9568,0.0789999999999997,-5.3849,-6.6547,-7.8353,-0.279999999999999,0.5962,3.1951,1.1756
"335",4.1244,-2.1179,-1.04400000000000,4.0672,4.3548,-6.738,-0.5585,-8.6058,6.1366,-0.713600000000001,-5.1106,-4.0486,7.4783,5.7679,-7.1274,4.6419,-0.7544,-6.1947,5.047,6.8999,1.2336,-0.205500000000001,-2.8431,-2.8323,-7.3508,-5.51,5.0478,1.8354,0.929200000000002,-2.8501,1.9502,6.3101,-1.7202,5.0308,-1.2664,-1.7183,0.7621,-0.5814,2.3867,-5.9656,4.4772,-3.6873,-10.6203,-3.5536,-2.9817,-0.19,-2.5125,-0.8154,7.9498,-4.7551,-5.7906,-5.7914,1.1663,8.9366,-2.5182,5.8977,0.8618,-2.5312,1.3908,-6.3028,-3.0705,-1.43230000000000,-12.315,2.2807,9.0122,6.4105,-1.636,9.0043,1.4126,5.3275,-2.2326,-7.2666,-1.4171,-0.351000000000001,-3.9999,3.546,-9.1934,-4.4505,-0.204599999999999,-6.0824,0.604799999999999,2.4469,-0.461400000000001,-0.3088,7.3338,-8.0854,-5.1062,0.701800000000002,-5.3834,3.6849,0.6457,-1.5246,-6.8879,3.0012,10.7745,-1.6965,-2.9881,3.1469,2.7164,-6.0523,-2.2551,-1.8301,3.8648,-0.108499999999999,-5.0778,-6.6578,-7.6485,-0.7583,0.841700000000001,3.1117,1.9143
"336",4.7107,-2.1152,-0.6059,4.8051,4.3437,-6.0237,0.615399999999999,-8.863,6.8912,-0.510899999999999,-5.7036,-3.7105,8.0426,6.4304,-7.3374,5.3321,-0.928,-6.3254,5.1835,7.3041,2.4137,-0.00820000000000043,-3.0092,-2.8198,-6.9656,-5.5565,3.435,1.5152,0.9677,-2.9215,2.3506,6.8645,-0.945400000000001,5.5152,-1.65,-2.4254,0.6121,-0.309700000000001,2.5312,-6.5191,3.979,-3.2522,-10.6555,-4.2143,-3.1981,0.319,-2.3802,-0.6638,7.2913,-5.7209,-6.2988,-5.4203,2.1643,8.2965,-2.5575,4.9026,0.7419,-1.9294,0.356900000000000,-5.6553,-2.4869,-1.6249,-12.2517,2.0576,8.2294,5.1017,-1.959,9.3002,0.8281,4.8761,-1.8677,-7.7584,-1.0379,-0.5108,-3.6007,3.9054,-8.4114,-3.8297,-0.676299999999998,-5.9921,0.208499999999999,1.77720000000000,-0.8072,0.0980999999999999,7.566,-7.8154,-5.3722,-0.286899999999999,-5.0747,3.0656,0.779,-1.6774,-7.0902,4.2197,11.3155,-1.8087,-2.8059,2.7858,3.7905,-6.2719,-2.3481,-1.8193,4.0156,-0.284,-4.593,-6.4331,-7.5096,-1.1240,1.04560000000000,2.9904,2.6297
"337",5.1436,-2.2955,-0.160900000000000,5.8998,4.2095,-5.3305,1.6661,-8.7245,7.4077,-0.336100000000002,-6.3249,-3.1857,8.4013,7.1849,-7.5691,5.5867,-0.7565,-6.4991,5.1135,7.5631,3.3847,0.1981,-3.131,-2.848,-6.4592,-5.4683,1.7666,1.37430000000000,0.997800000000002,-2.8826,2.9235,7.468,-0.325,5.9956,-2.1189,-3.2916,0.6012,-0.0344999999999995,2.6284,-6.9763,3.2139,-2.7249,-10.4645,-4.7706,-3.2979,0.7413,-2.1794,-0.5815,6.6775,-6.8157,-6.5504,-5.0777,3.0982,7.4754,-2.4945,3.8479,0.7406,-1.4469,-0.6942,-4.8915,-1.6661,-1.7628,-12.0419,1.8548,7.3718,3.7674,-2.227,9.506,0.0926,4.4024,-1.3915,-8.3564,-0.8376,-0.7436,-3.14610000000000,4.0099,-7.7599,-3.1451,-1.177,-5.761,0.0197000000000003,0.948599999999999,-1.1542,0.722,7.743,-7.3275,-5.6461,-1.2044,-4.7706,2.3246,0.947000000000001,-1.808,-7.2929,5.2148,11.5389,-1.9963,-2.5041,2.4119,4.8981,-6.4825,-2.5217,-1.8811,4.352,-0.3901,-3.9664,-5.9845,-7.4608,-1.3455,1.188,2.8622,3.2741
"338",5.3923,-2.6493,0.214500000000001,7.2536,3.983,-4.7144,2.5007,-8.2182,7.6863,-0.145600000000002,-6.9453,-2.5418,8.5261,7.9682,-7.8276,5.4188,-0.285,-6.6622,4.8865,7.6893,4.0549,0.3602,-3.1628,-2.9363,-5.8793,-5.2235,0.141000000000000,1.37430000000000,0.9943,-2.7252,3.6765,8.0475,0.129300000000001,6.4298,-2.6774,-4.2944,0.6713,0.2291,2.7363,-7.314,2.2269,-2.1652,-10.0925,-5.2205,-3.2642,1.0026,-1.9026,-0.6181,6.1318,-7.9751,-6.5772,-4.7604,3.8846,6.5551,-2.3284,2.7661,0.8457,-1.0833,-1.6735,-4.0449,-0.674800000000001,-1.8182,-11.672,1.6579,6.4818,2.3947,-2.3948,9.5789,-0.7404,3.9527,-0.8503,-9.0604,-0.7867,-1.086,-2.6734,3.7813,-7.2224,-2.407,-1.71110000000000,-5.4063,0.0504999999999995,0.0156000000000027,-1.4634,1.4635,7.8438,-6.7002,-5.9079,-1.9905,-4.4572,1.4732,1.1473,-1.9105,-7.4973,5.8993,11.4048,-2.2229,-2.1507,2.1176,5.9605,-6.6148,-2.796,-1.9912,4.7786,-0.3923,-3.2509,-5.3271,-7.527,-1.40290000000000,1.2607,2.7433,3.8058
"339",5.4651,-3.0892,0.4664,8.7195,3.7066,-4.233,3.0597,-7.4163,7.7209,0.110599999999998,-7.5296,-1.8593,8.4075,8.7023,-8.1462,4.9322,0.4135,-6.7668,4.5715,7.7145,4.3509,0.4404,-3.0959,-3.1079,-5.3056,-4.8348,-1.3477,1.4528,0.9452,-2.4396,4.5824,8.5288,0.4242,6.7928,-3.3199,-5.3963,0.7322,0.4918,2.9063,-7.5215,1.08710000000000,-1.6369,-9.6012,-5.5745,-3.1164,1.0351,-1.5764,-0.8011,5.6828,-9.1142,-6.4556,-4.4691,4.459,5.6434,-2.0922,1.674,1.0369,-0.8401,-2.501,-3.1668,0.400200000000002,-1.7952,-11.1445,1.44960000000000,5.5826,0.9727,-2.4361,9.4847,-1.6006,3.5502,-0.308299999999999,-9.8586,-0.8346,-1.5604,-2.2029,3.1852,-6.7626,-1.6485,-2.2731,-4.9573,0.284400000000002,-0.9652,-1.6973,2.2056,7.8535,-6.0255,-6.1263,-2.621,-4.1204,0.525199999999998,1.3726,-1.9777,-7.675,6.212,10.9221,-2.4629,-1.8215,1.9609,6.9012,-6.617,-3.1721,-2.1132,5.1844,-0.2857,-2.5009,-4.4913,-7.7116,-1.29630000000000,1.267,2.6363,4.193
"340",5.3988,-3.4878,0.573499999999999,10.134,3.4197,-3.9078,3.3171,-6.4217,7.498,0.482299999999999,-8.0195,-1.22200000000000,8.0556,9.3124,-8.5675,4.2816,1.252,-6.7727,4.2478,7.6866,4.2366,0.423,-2.9545,-3.3761,-4.831,-4.3434,-2.6223,1.54350000000000,0.8493,-2.0317,5.5716,8.851,0.587,7.0669,-4.0242,-6.5466,0.6906,0.7884,3.1674,-7.6085,-0.117099999999999,-1.20790000000000,-9.0575,-5.8528,-2.9008,0.7768,-1.262,-1.1365,5.3546,-10.1392,-6.2796,-4.2067,4.794,4.8489,-1.8406,0.580299999999999,1.2881,-0.7137,-3.1245,-2.3232,1.4585,-1.7295,-10.4791,1.22650000000000,4.6808,-0.479799999999999,-2.3492,9.213,-2.4082,3.1844,0.167100000000001,-10.7216,-0.9192,-2.1768,-1.7412,2.2348,-6.3355,-0.9234,-2.8458,-4.4299,0.6801,-1.9329,-1.8258,2.8348,7.7732,-5.3906,-6.2637,-3.1039,-3.7511,-0.502500000000001,1.60760000000000,-2.011,-7.7765,6.1261,10.1448,-2.7067,-1.588,1.9438,7.649,-6.4594,-3.6305,-2.2006,5.4725,-0.0966000000000005,-1.7636,-3.5293,-7.9943,-1.04800000000000,1.211,2.5344,4.4161
"341",5.2374,-3.7418,0.5419,11.3441,3.1428,-3.7008,3.2787,-5.3546,7.0136,1.0102,-8.3512,-0.688299999999998,7.5056,9.7439,-9.1075,3.625,2.1411,-6.652,3.9876,7.6564,3.7259,0.3121,-2.7758,-3.7316,-4.5307,-3.8057,-3.6357,1.59820000000000,0.710600000000001,-1.5331,6.5385,8.9769,0.661299999999999,7.2304,-4.7491,-7.6828,0.4819,1.159,3.522,-7.6061,-1.2878,-0.953600000000002,-8.5262,-6.0799,-2.6714,0.183100000000000,-1.0284,-1.6194,5.1581,-10.9635,-6.1319,-3.9811,4.9039,4.2592,-1.62410000000000,-0.504700000000001,1.569,-0.688499999999999,-3.5176,-1.5801,2.3976,-1.6743,-9.715,1.00930000000000,3.7851,-1.8997,-2.1581,8.781,-3.0871,2.8197,0.518700000000003,-11.6075,-0.9808,-2.9393,-1.2955,0.9865,-5.8974,-0.2882,-3.3909,-3.8187,1.1773,-2.8241,-1.8341,3.2579,7.6224,-4.8576,-6.2868,-3.4632,-3.3471,-1.5902,1.8319,-2.0263,-7.7516,5.6508,9.1633,-2.9533,-1.5021,2.0181,8.1374,-6.1407,-4.1288,-2.211,5.5766,0.126300000000000,-1.0819,-2.5222,-8.3348,-0.7025,1.0807,2.4299,4.4702
