"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109"
"397",2.4184,12.07,-4.5933,0.383599999999999,1.5305,-4.6586,9.7731,-1.5251,5.398,-1.4548,-0.9795,-0.3872,0.2195,-1.0107,7.102,4.9676,-1.3334,3.7851,-2.3363,-2.7799,9.559,2.9057,9.0932,5.4766,10.9584,1.3525,1.0239,-1.8718,-0.5642,3.0731,-0.2939,-0.7579,3.7298,3.8644,4.8347,1.5718,0.0375000000000001,6.4707,6.8855,-5.3799,0.99,5.3147,-1.20490000000000,2.7058,-5.4394,7.4011,-7.428,2.1534,-0.1385,1.0748,0.9886,2.3147,1.0426,5.3373,3.4283,1.7443,-1.5654,-7.3788,1.6584,6.5596,4.5569,4.5165,0.7239,-3.1674,2.3223,6.8222,1.1115,2.5236,1.7873,11.0756,11.8765,-4.8795,-1.1091,5.1667,7.6245,4.8059,1.3082,2.9754,-3.1749,5.8735,1.0416,2.0577,6.0515,-2.5169,-0.258199999999999,2.8869,3.8982,7.6041,5.799,-0.370899999999999,0.7863,0.4291,-0.4534,-6.1437,-1.2034,1.4322,0.8875,1.4886,-3.9985,7.5141,-4.3243,6.6269,-5.1729,-0.6925,11.8646,-0.4454,-4.5961,0.726,-2.78320000000000
"398",2.7441,12.2572,-5.5015,0.0424000000000007,2.4884,-4.9195,10.0974,-1.0425,5.2543,-1.1688,-0.7784,1.2032,0.5793,-1.038,7.5814,4.4267,-2.1413,4.0372,-3.2465,-3.0096,8.9225,3.8381,9.3559,6.1046,11.0985,1.1589,1.5961,-1.6065,-0.4979,2.6118,-0.926,-0.0215000000000014,3.7448,4.3445,4.629,1.764,0.2411,6.9186,6.8605,-4.9878,1.0058,5.5878,-0.977699999999999,3.2609,-5.6214,8.4919,-6.7556,1.9911,0.2108,1.17560000000000,1.1689,2.0425,1.4268,5.4255,3.5046,1.3059,-2.1364,-8.0631,2.264,6.1102,4.7167,4.8241,0.431699999999999,-2.0363,2.0568,7.0898,2.6223,2.7949,0.8103,11.2724,12.1667,-4.5994,-1.6676,4.1981,7.1413,4.6372,1.2302,2.4343,-3.0159,6.212,1.1954,2.3664,6.0123,-3.1439,-0.591899999999999,2.8263,3.5729,7.8813,6.0151,-0.560700000000001,0.8896,0.8179,-0.645,-5.1378,-0.7204,1.8633,1.2303,1.0221,-3.9655,7.8643,-4.5772,5.6805,-6.1677,-0.6701,11.2346,-0.5589,-3.7757,0.2512,-1.9423
"399",3.2524,12.1632,-6.2971,-0.4162,3.3522,-5.0351,10.4554,-0.4662,4.9388,-0.9647,-0.8621,2.5943,0.7594,-0.9687,8.0578,4.0483,-2.8225,4.4135,-4.1569,-3.0508,8.3681,4.7488,9.3901,6.6324,11.0896,0.9332,2.1575,-1.2858,-0.611199999999999,2.4349,-1.6238,0.7315,3.7025,4.517,4.1966,1.9676,0.52,7.3089,6.7736,-4.3531,1.0319,5.7329,-0.653600000000001,3.7582,-5.6033,9.513,-5.7453,1.9105,0.6688,1.22960000000000,1.2543,1.8395,1.7259,5.6747,3.7607,0.8185,-2.6946,-8.5989,2.9457,5.6569,4.7447,5.1276,0.0752999999999986,-1.0475,1.8489,7.3815,4.0603,3.0988,-0.165000000000001,11.2868,12.3629,-4.3081,-2.1436,3.2412,6.4806,4.4591,1.3177,1.7966,-2.9156,6.5761,1.4578,2.5383,5.7631,-3.4763,-0.9285,2.7738,3.1071,7.8884,6.1914,-0.683699999999998,1.1485,1.1978,-0.8951,-4.4116,-0.2299,2.2988,1.3995,0.721,-3.9016,8.0685,-4.653,4.5748,-7.2992,-0.5891,10.5058,-0.6607,-2.9982,-0.295500000000001,-0.9635
"400",3.9295,11.8019,-7.0259,-0.9213,4.0765,-5.0903,10.8304,0.1632,4.4647,-0.813300000000001,-1.1425,3.7061,0.7107,-0.8136,8.5227,3.9164,-3.3122,4.869,-4.9743,-2.9199,7.9578,5.5644,9.2298,7.0903,10.8934,0.7386,2.6524,-0.9721,-0.9378,2.5689,-2.3425,1.4189,3.5946,4.3848,3.5171,2.208,0.8314,7.5667,6.6122,-3.5594,1.1302,5.7422,-0.275700000000001,4.0895,-5.415,10.4099,-4.4424,1.922,1.1644,1.2487,1.2791,1.6955,1.9034,6.0751,4.1837,0.3065,-3.2293,-8.8814,3.6191,5.2494,4.6343,5.3546,-0.310500000000001,-0.2458,1.7002,7.6481,5.3412,3.4293,-1.1124,11.0742,12.3997,-4.0055,-2.5485,2.3665,5.6918,4.2555,1.5573,1.1061,-2.9084,6.9278,1.827,2.5849,5.4034,-3.4812,-1.26,2.765,2.5412,7.6219,6.3206,-0.727899999999998,1.5029,1.55190000000000,-1.1469,-4.0064,0.2223,2.6459,1.3534,0.5563,-3.8218,8.117,-4.5637,3.3405,-8.4277,-0.4764,9.6984,-0.7975,-2.3085,-0.9242,0.109999999999999
"401",4.7181,11.2069,-7.7599,-1.3752,4.6459,-5.1798,11.1753,0.8101,3.8608,-0.6783,-1.5034,4.4942,0.4215,-0.5815,8.969,4.0417,-3.6126,5.3428,-5.6103,-2.6426,7.7099,6.2199,8.9388,7.5104,10.5072,0.612699999999999,3.0262,-0.7221,-1.4987,2.9955,-3.0395,1.9756,3.4261,3.9931,2.604,2.5239,1.1082,7.658,6.3799,-2.7123,1.3637,5.6316,0.1372,4.1461,-5.1159,11.1463,-2.9129,2.019,1.6331,1.25000000000000,1.2725,1.5929,1.9477,6.5841,4.7298,-0.1692,-3.723,-8.8404,4.2021,4.9246,4.3938,5.4338,-0.6761,0.352,1.5959,7.8316,6.3958,3.7553,-1.975,10.6212,12.2231,-3.6903,-2.9133,1.6302,4.8599,4.0064,1.9348,0.4238,-3.0032,7.2182,2.298,2.5359,5.0247,-3.1691,-1.5699,2.8298,1.9327,7.1015,6.3811,-0.688599999999997,1.877,1.8794,-1.3298,-3.9357,0.6113,2.8235,1.0817,0.4979,-3.7397,8.0269,-4.3471,2.0432,-9.4081,-0.364599999999999,8.829,-1.0268,-1.722,-1.6356,1.2102
"402",5.536,10.4385,-8.574,-1.6986,5.0587,-5.3673,11.4222,1.4449,3.1552,-0.532,-1.8471,4.9574,-0.0876000000000001,-0.2823,9.3864,4.3468,-3.7835,5.8013,-5.997,-2.258,7.5928,6.6726,8.5911,7.9142,9.9638,0.5535,3.2306,-0.5688,-2.3025,3.6602,-3.6917,2.3595,3.2088,3.4162,1.5052,2.9495,1.2739,7.5893,6.1074,-1.9104,1.7748,5.433,0.5854,3.8546,-4.7685,11.7079,-1.2397,2.1837,2.04,1.26290000000000,1.2523,1.5156,1.865,7.133,5.3417,-0.522500000000001,-4.1652,-8.4516,4.628,4.6977,4.0419,5.3104,-0.9728,0.7653,1.5082,7.889,7.1768,4.0148,-2.6806,9.9562,11.7995,-3.3626,-3.2736,1.0658,4.0774,3.7038,2.4368,-0.182400000000000,-3.1793,7.3958,2.849,2.427,4.6976,-2.5905,-1.8389,2.982,1.3484,6.3699,6.3401,-0.5656,2.2075,2.1829,-1.3686,-4.1874,0.9309,2.7811,0.6064,0.5183,-3.6585,7.8374,-4.0424,0.7711,-10.1165,-0.279100000000000,7.9215,-1.3972,-1.2299,-2.415,2.2517
"403",6.303,9.5883,-9.5046,-1.8615,5.3096,-5.6495,11.4959,2.0494,2.3655,-0.3643,-2.11,5.138,-0.7716,0.0675000000000008,9.7611,4.6992,-3.8954,6.2677,-6.0937,-1.81,7.5405,6.9082,8.2535,8.2954,9.3185,0.5145,3.2327,-0.5141,-3.3423,4.4831,-4.3004,2.5529,2.9537,2.7421,0.302000000000000,3.4936,1.2556,7.3942,5.8466,-1.2191,2.3739,5.1847,1.07270000000000,3.1961,-4.4201,12.0873,0.4909,2.4005,2.3868,1.33620000000000,1.2229,1.4615,1.6686,7.6367,5.9564,-0.6652,-4.5648,-7.7357,4.8577,4.5628,3.6084,4.9614,-1.1724,1.0444,1.3994,7.8092,7.6567,4.1256,-3.1721,9.1551,11.1302,-3.0259,-3.6537,0.6807,3.4105,3.3591,3.0469,-0.659,-3.3919,7.4201,3.4346,2.2915,4.4765,-1.8249,-2.0555,3.215,0.849400000000001,5.4864,6.1627,-0.3597,2.4666,2.4601,-1.1985,-4.7143,1.1757,2.5092,-0.0228999999999999,0.5941,-3.5663,7.5986,-3.6776,-0.386600000000000,-10.471,-0.234,7.0203,-1.9331,-0.8069,-3.2271,3.1498
"404",6.9678,8.7641,-10.5104,-1.8839,5.3766,-5.9612,11.3244,2.6105,1.5131,-0.183400000000000,-2.2574,5.1113,-1.5718,0.440799999999999,10.0778,4.9678,-3.9766,6.8084,-5.8872,-1.3406,7.4807,6.942,7.9689,8.6166,8.637,0.4173,3.0244,-0.5354,-4.5842,5.3714,-4.8885,2.5609,2.673,2.0549,-0.901,4.1263,0.9999,7.1173,5.6468,-0.6628,3.1377,4.9208,1.5854,2.2049,-4.101,12.2741,2.2005,2.6635,2.6945,1.5296,1.1768,1.4502,1.3748,8.0099,6.5049,-0.5289,-4.9424,-6.754,4.8844,4.5043,3.1336,4.3994,-1.2741,1.258,1.2298,7.6179,7.818,4.0083,-3.4338,8.3329,10.2606,-2.6914,-4.0514,0.4574,2.8833,2.9949,3.7336,-0.983,-3.5911,7.278,3.9927,2.1566,4.4154,-0.9697,-2.2179,3.5059,0.477,4.5233,5.8278,-0.0762,2.6648,2.7005,-0.788,-5.4312,1.3317,2.0372,-0.7307,0.7062,-3.4423,7.3569,-3.2645,-1.3617,-10.4414,-0.232600000000000,6.1943,-2.6266,-0.4248,-4.0181,3.8394
"405",7.517,8.061,-11.479,-1.8181,5.2347,-6.2102,10.8495,3.099,0.6512,-0.008,-2.2767,4.9593,-2.4227,0.8012,10.3226,5.0722,-4.0018,7.4927,-5.3904,-0.900300000000001,7.3604,6.8185,7.7484,8.817,7.9907,0.177899999999999,2.6217,-0.6068,-5.9588,6.2279,-5.4911,2.4073,2.3835,1.4202,-1.9905,4.7846,0.4961,6.7992,5.5296,-0.2349,4.0112,4.6661,2.0811,0.958,-3.8356,12.2611,3.8193,2.978,2.9789,1.8889,1.1026,1.5178,1.0072,8.1854,6.9182,-0.0873000000000008,-5.3209,-5.6052,4.7248,4.5123,2.6656,3.6668,-1.2932,1.4689,0.969,7.363,7.6491,3.6092,-3.5029,7.6205,9.2724,-2.3837,-4.4349,0.3564,2.4822,2.6327,4.443,-1.1634,-3.7404,6.9892,4.4584,2.0426,4.5752,-0.132099999999999,-2.3298,3.8226,0.2446,3.5584,5.3435,0.268400000000003,2.8305,2.8926,-0.156,-6.2266,1.3792,1.4234,-1.4184,0.8373,-3.2737,7.1441,-2.804,-2.1205,-10.0476,-0.2713,5.5277,-3.4375,-0.0725,-4.7248,4.2896
"406",7.9614,7.5337,-12.2777,-1.7278,4.8857,-6.319,10.0439,3.4574,-0.1166,0.1386,-2.1747,4.7402,-3.2544,1.1049,10.478,5.0011,-3.928,8.3536,-4.6397,-0.552,7.1551,6.6026,7.5692,8.8351,7.4522,-0.2638,2.0607,-0.7132,-7.3655,6.9632,-6.1461,2.1305,2.1097,0.8742,-2.8671,5.3858,-0.203399999999999,6.4674,5.4854,0.0922,4.9125,4.4314,2.4994,-0.443800000000000,-3.648,12.0544,5.2855,3.3504,3.2405,2.42350000000000,0.9942,1.6972,0.6027,8.1307,7.1355,0.629099999999999,-5.72,-4.4155,4.3996,4.5847,2.2543,2.821,-1.2482,1.7178,0.613700000000001,7.0956,7.1519,2.9114,-3.4534,7.1337,8.2606,-2.1369,-4.7533,0.3224,2.1692,2.2795,5.1002,-1.2346,-3.8253,6.5989,4.7777,1.9626,5.0116,0.5848,-2.3937,4.131,0.144500000000001,2.6701,4.7523,0.646699999999999,2.9946,3.0319,0.6279,-6.9847,1.3119,0.7421,-1.9802,0.9709,-3.0739,6.9745,-2.2923,-2.657,-9.3477,-0.343999999999999,5.0977,-4.3022,0.2384,-5.2869,4.5074
