"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113"
"176",-0.4649,-5.2828,4.9911,0.700100000000001,-0.2443,6.2887,-5.0283,-3.5305,4.0551,0.181,-3.4875,-3.0799,2.9433,-3.5795,0.310499999999999,2.04,-2.3504,-1.3844,1.9125,-2.1598,4.5472,-6.9047,2.3759,-0.3656,0.4692,-2.008,1.6709,-2.0108,10.151,-5.4317,-0.6271,-5.3555,-1.9911,1.9038,3.0983,-0.4491,-7.8884,-3.3405,1.0562,0.7938,-4.5441,-0.1029,-0.112900000000000,4.4154,-0.9584,0.7578,-8.2732,3.6439,-3.3641,-4.2246,3.1432,2.7994,7.7547,-0.6257,-0.7515,-4.8865,4.1652,-3.0099,-1.4371,2.8821,-1.3297,0.8765,2.8571,2.9305,-3.3533,7.3246,1.0578,0.2441,3.5994,-3.7996,-5.626,-0.169600000000000,3.2428,-0.81,2.5001,-2.9185,-1.572,7.8903,2.9169,-2.5832,-0.8161,-5.999,-2.6668,-1.1045,5.9599,-2.3148,2.133,-7.2995,-3.817,0.621099999999999,1.0024,-4.4706,-3.588,1.0609,1.8977,-3.6243,3.1402,-1.811,2.0682,-0.6947,2.645,5.4571,-2.8869,4.0868,-4.723,-3.2077,-4.3357,0.5925,-7.0111,-6.7178,-5.435,1.9723,1.1139
"177",-0.6131,-5.4385,4.5593,0.488200000000001,-1.5629,6.6281,-4.9477,-3.8971,4.1726,0.404500000000000,-3.9378,-3.7266,2.3434,-3.4256,0.2698,1.6724,-2.3438,-1.2008,2.1148,-1.9899,5.2262,-6.2435,2.8148,-0.4429,0.6942,-2.1628,2.3203,-1.5711,9.5446,-5.7996,-1.3786,-4.696,-2.0222,2.2997,2.7491,-0.5142,-8.0253,-3.1651,0.6015,1.7649,-4.35,0.5626,-0.5217,4.6352,-0.8724,0.6072,-8.1863,3.2296,-2.4026,-4.4269,3.5035,3.0523,7.4715,-0.9276,-0.8843,-4.8311,4.5137,-2.5413,-0.997,2.9181,-1.5829,1.2112,3.3891,3.4531,-3.8457,7.8318,0.7033,0.2106,3.7325,-3.4001,-5.7299,-0.0464000000000002,2.5831,-1.2111,2.5078,-2.8698,-1.1652,7.602,2.4396,-3.0124,-0.442,-5.8837,-2.1952,-0.538200000000001,6.8466,-2.0651,1.4721,-7.1422,-3.9397,-0.243300000000001,0.5309,-4.4025,-3.3892,0.7035,1.4696,-3.7631,2.2181,-2.269,2.7816,-0.6196,3.4616,4.9315,-2.2993,4.2303,-5.3965,-2.65,-3.5276,0.3607,-6.2669,-6.7974,-6.3654,1.7128,0.88530
"178",-0.4359,-5.3555,4.1791,-0.00459999999999994,-2.8699,6.7126,-4.8346,-4.3154,3.9459,0.369400000000001,-4.1284,-4.0561,1.902,-2.876,0.486800000000001,1.2843,-2.4157,-0.9671,2.3473,-1.5687,5.7219,-5.4739,3.0502,-0.5362,0.9445,-2.388,2.8359,-1.0865,8.7934,-6.1995,-2.0188,-4.1099,-2.0242,2.7335,2.3409,-0.9243,-7.8325,-2.6906,0.2071,2.6896,-4.0507,1.4974,-0.8536,4.7398,-0.8801,0.4757,-7.9014,2.8285,-1.7525,-4.5677,3.7035,3.2818,7.2214,-1.1743,-1.0213,-4.5837,4.7432,-2.1991,-0.4442,2.838,-1.7416,1.6605,3.741,3.9489,-4.2065,8.1063,0.316500000000000,0.0893,3.7845,-2.9812,-5.9708,0.0926,1.9579,-1.7346,2.4878,-2.6513,-0.7734,7.3141,1.8368,-3.4375,0.0101999999999998,-5.6276,-1.7874,-0.160700000000000,7.6863,-1.695,0.597099999999999,-6.9002,-4.0222,-1.374,0.2138,-4.2068,-3.1332,0.4032,1.0709,-3.8438,1.2218,-2.828,3.4762,-0.6507,4.2583,4.4533,-1.566,4.2397,-5.9028,-1.782,-2.7057,0.1095,-5.4287,-6.7898,-7.2505,1.4566,0.7734
"179",0.0813,-5.0809,3.8979,-0.688,-4.039,6.4988,-4.6403,-4.7415,3.3739,0.0571000000000002,-3.9384,-3.9546,1.6506,-1.9979,1.00180000000000,0.9145,-2.6616,-0.7373,2.5835,-0.9744,5.9549,-4.6995,3.0403,-0.5604,1.1571,-2.6644,3.1547,-0.5771,7.9814,-6.6059,-2.5111,-3.6385,-2.0652,3.1676,1.8893,-1.638,-7.3243,-1.9569,-0.0969,3.4845,-3.7029,2.614,-1.0764,4.7024,-1.0207,0.370500000000001,-7.4048,2.4618,-1.5076,-4.636,3.7135,3.4971,7.0463,-1.3616,-1.1506,-4.1594,4.8188,-2.003,0.205600000000000,2.6808,-1.7947,2.2183,3.9081,4.3586,-4.3713,8.1643,-0.0209000000000001,-0.0938,3.7484,-2.5867,-6.3886,0.2158,1.4434,-2.342,2.4858,-2.314,-0.3935,7.0598,1.1608,-3.8224,0.5053,-5.2545,-1.4994,0.00619999999999976,8.3992,-1.2156,-0.418700000000001,-6.6275,-4.0708,-2.7171,0.0519000000000001,-3.9167,-2.8269,0.1625,0.7108,-3.9169,0.235000000000001,-3.4237,4.1513,-0.7727,4.9719,4.0826,-0.7303,4.0725,-6.1744,-0.6908,-1.9241,-0.1599,-4.5362,-6.7227,-8.0112,1.1951,0.791
"180",0.8907,-4.6918,3.7396,-1.425,-4.9508,5.962,-4.3332,-5.1011,2.5179,-0.512699999999999,-3.34,-3.376,1.6057,-0.9221,1.8072,0.5959,-3.1544,-0.5678,2.7837,-0.341300000000000,5.8723,-3.9874,2.7596,-0.4461,1.2642,-2.95,3.2675,-0.0573999999999995,7.2005,-6.9745,-2.8341,-3.314,-2.1978,3.5655,1.4487,-2.5602,-6.5439,-1.0268,-0.2859,4.0933,-3.3528,3.7906,-1.1755,4.536,-1.2952,0.287900000000000,-6.6964,2.1498,-1.7096,-4.6094,3.5118,3.6977,6.9614,-1.4836,-1.2659,-3.5827,4.7239,-1.9504,0.9279,2.4834,-1.7454,2.8677,3.9297,4.6311,-4.2882,8.054,-0.2504,-0.2984,3.6164,-2.2584,-6.9954,0.293,1.1059,-2.9829,2.5534,-1.9196,-0.0276000000000001,6.8522,0.485399999999998,-4.1261,1.01,-4.7872,-1.3561,-0.0444999999999993,8.9163,-0.6533,-1.4864,-6.368,-4.0946,-4.208,0.0381,-3.5862,-2.4629,-0.0187999999999997,0.3803,-4.0209,-0.6686,-3.9682,4.7954,-0.9618,5.5267,3.8715,0.164499999999999,3.6879,-6.1584,0.506799999999998,-1.2256,-0.4587,-3.6518,-6.6189,-8.5853,0.9057,0.930400000000002
"181",1.8818,-4.2833,3.7201,-2.0883,-5.5082,5.1164,-3.901,-5.3445,1.4885,-1.2766,-2.4037,-2.3436,1.7805,0.2042,2.8435,0.3452,-3.9195,-0.5,2.9239,0.1922,5.4777,-3.3539,2.2128,-0.1652,1.2034,-3.1874,3.2176,0.4573,6.539,-7.259,-2.9711,-3.1597,-2.4499,3.9017,1.0899,-3.5649,-5.5509,0.0224000000000011,-0.347,4.4951,-3.0269,4.889,-1.1471,4.289,-1.6679,0.216200000000000,-5.796,1.9061,-2.3423,-4.4651,3.0894,3.868,6.9488,-1.5297,-1.3724,-2.8857,4.4775,-2.02,1.6903,2.2734,-1.6083,3.5798,3.8789,4.7271,-3.937,7.8355,-0.3545,-0.4741,3.3813,-2.0276,-7.7689,0.301300000000000,0.9868,-3.6085,2.7371,-1.5255,0.3171,6.6809,-0.110799999999999,-4.3092,1.4961,-4.2518,-1.3475,-0.298600000000000,9.1972,-0.0442,-2.5145,-6.1383,-4.1104,-5.7809,0.1517,-3.2765,-2.0288,-0.1345,0.0625,-4.1804,-1.4341,-4.3771,5.3759,-1.1886,5.8391,3.8595,1.06740000000000,3.066,-5.8262,1.67910000000000,-0.6336,-0.7946,-2.8495,-6.4937,-8.9355,0.5676,1.1723
"182",2.8984,-3.9564,3.8503,-2.607,-5.6587,4.017,-3.3521,-5.4709,0.3987,-2.1353,-1.258,-0.9344,2.1719,1.2557,4.0032,0.1625,-4.9104,-0.5427,3.011,0.5269,4.8393,-2.7773,1.4399,0.2595,0.9304,-3.3245,3.0766,0.947499999999999,6.0721,-7.4211,-2.9046,-3.1843,-2.8232,4.1636,0.8606,-4.5269,-4.4042,1.1062,-0.2856,4.7018,-2.7319,5.7791,-0.9841,4.0279,-2.0808,0.148500000000000,-4.7477,1.7355,-3.3351,-4.1901,2.4564,3.9773,6.9672,-1.489,-1.4841,-2.1057,4.1348,-2.1812,2.4561,2.0712,-1.408,4.3169,3.8377,4.6294,-3.3356,7.5602,-0.3607,-0.5668,3.0462,-1.9119,-8.6592,0.226300000000000,1.0954,-4.1768,3.0672,-1.1723,0.6298,6.5208,-0.5639,-4.3481,1.9364,-3.6851,-1.4357,-0.7119,9.2457,0.568,-3.4241,-5.9193,-4.1451,-7.3683,0.3609,-3.0409,-1.518,-0.1684,-0.2588,-4.4071,-2.0323,-4.5897,5.845,-1.4233,5.8356,4.0689,1.9133,2.2235,-5.1776,2.6975,-0.1486,-1.153,-2.2022,-6.3583,-9.052,0.175200000000000,1.4979
"183",3.7715,-3.81,4.115,-2.9694,-5.4191,2.7488,-2.7138,-5.5052,-0.6699,-2.9768,-0.0365,0.7359,2.7441,2.1478,5.1499,0.0345,-6.0034,-0.671999999999999,3.068,0.6266,4.0746,-2.227,0.5079,0.7717,0.4429,-3.3371,2.9099,1.391,5.8454,-7.4323,-2.627,-3.3768,-3.2876,4.3448,0.754200000000001,-5.3534,-3.1568,2.1369,-0.131,4.7436,-2.4706,6.3585,-0.6714,3.8153,-2.4795,0.093,-3.6159,1.6379,-4.571,-3.7921,1.6445,3.9867,6.9734,-1.3566,-1.6168,-1.2874,3.7699,-2.4,3.1859,1.8967,-1.177,5.0382,3.8671,4.3489,-2.5401,7.2618,-0.3246,-0.527,2.6321,-1.9179,-9.5982,0.0621999999999998,1.409,-4.6515,3.5486,-0.877600000000001,0.9011,6.3459,-0.833499999999999,-4.2471,2.2974,-3.1359,-1.5682,-1.21,9.1093,1.1262,-4.1565,-5.665,-4.2282,-8.8999,0.6262,-2.913,-0.9394,-0.101500000000000,-0.5947,-4.7045,-2.4603,-4.5692,6.1553,-1.6378,5.474,4.4968,2.6325,1.2192,-4.2422,3.4554,0.2467,-1.4928,-1.7707,-6.2231,-8.9489,-0.2508,1.8907
"184",4.367,-3.9269,4.4585,-3.1961,-4.8774,1.4167,-2.0293,-5.4619,-1.6627,-3.7034,1.1527,2.5188,3.4256,2.8459,6.1495,-0.0537000000000001,-7.037,-0.8535,3.1077,0.5149,3.3269,-1.6872,-0.508,1.3111,-0.2012,-3.239,2.7563,1.764,5.8626,-7.2853,-2.1557,-3.7014,-3.7822,4.4339,0.705900000000002,-5.998,-1.87,3.0358,0.0625,4.6543,-2.2549,6.5616,-0.197500000000001,3.6928,-2.8352,0.0717999999999996,-2.478,1.6155,-5.9007,-3.3064,0.707400000000002,3.862,6.9402,-1.1336,-1.7763,-0.4802,3.4533,-2.6471,3.8366,1.7788,-0.9528,5.7082,3.9918,3.9227,-1.6338,6.9597,-0.3064,-0.315400000000000,2.1764,-2.0476,-10.5075,-0.184300000000000,1.8851,-5.0022,4.1584,-0.641200000000001,1.1248,6.1485,-0.9041,-4.0347,2.5357,-2.6588,-1.6902,-1.7038,8.8646,1.5641,-4.6733,-5.3196,-4.3771,-10.3011,0.9038,-2.8976,-0.3216,0.0768,-0.9488,-5.0649,-2.7383,-4.3009,6.2738,-1.8008,4.7596,5.1052,3.1649,0.1454,-3.0744,3.8881,0.5755,-1.7605,-1.5926,-6.0948,-8.657,-0.6672,2.3333
"185",4.6219,-4.3467,4.8065,-3.3059,-4.1618,0.135400000000001,-1.3531,-5.3303,-2.5272,-4.2428,2.2383,4.2364,4.1289,3.3606,6.907,-0.111200000000000,-7.874,-1.0663,3.1275,0.2578,2.7247,-1.1664,-1.5457,1.8323,-0.8974,-3.0716,2.6237,2.0435,6.0822,-7.0032,-1.5471,-4.0971,-4.2284,4.4075,0.6225,-6.4511,-0.626100000000001,3.7542,0.2276,4.46,-2.1053,6.3621,0.4254,3.6734,-3.1578,0.109900000000000,-1.4104,1.6759,-7.1628,-2.7956,-0.279600000000000,3.5868,6.8621,-0.8226,-1.9497,0.2644,3.2407,-2.8979,4.3602,1.7612,-0.7746,6.3012,4.2084,3.4036,-0.7109,6.6683,-0.3483,0.0827,1.7215,-2.3041,-11.2982,-0.486,2.4752,-5.206,4.8523,-0.454800000000001,1.2975,5.9419,-0.7833,-3.7495,2.5998,-2.3029,-1.7584,-2.1112,8.5929,1.8151,-4.957,-4.8329,-4.5854,-11.4982,1.1523,-2.9685,0.2926,0.3621,-1.3112,-5.4619,-2.8972,-3.7929,6.1893,-1.8768,3.7465,5.815,3.4707,-0.8844,-1.7456,3.9812,0.8508,-1.9055,-1.6793,-5.9725,-8.2129,-1.0185,2.8076
