"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117"
"217",5.2307,-0.6672,-1.3267,-3.8463,-2.679,-0.8786,-0.723,0.312800000000001,-3.0199,6.8997,-0.5446,-6.005,-7.9269,-3.447,3.3194,4.6342,-10.0835,3.6935,2.0171,3.4639,0.5771,-4.1873,-1.6599,-2.3848,-1.1311,-2.0759,-2.9982,-0.1223,-1.8261,-0.6278,-3.6018,-5.5863,-5.7628,1.7279,4.412,1.0768,-3.1298,1.6007,3.3711,4.982,7.6493,0.1063,1.0377,7.1364,-6.1212,-4.5415,1.1551,-0.4894,2.5682,3.0435,-2.5211,-4.1127,-3.1315,6.8824,5.3549,2.6131,-6.2595,-2.8395,-0.519,0.4057,3.3355,5.2366,-5.2657,-5.0664,-5.7526,-2.7077,-7.2359,-3.1537,-1.9477,-0.6327,2.3965,-8.4267,2.1909,1.1122,-2.4936,2.4463,1.6621,3.6296,-2.2494,3.2455,4.4788,0.402,-0.659,-4.8385,4.0242,-5.7747,2.3611,-0.7476,-9.5402,4.9567,1.1773,-10.9572,-3.7065,0.6544,-0.5422,-4.9798,5.615,2.0165,1.3603,1.5871,-5.0204,10.1476,0.5166,0.948,2.9248,0.5064,2.4175,1.9009,7.7567,7.3053,3.4288,-0.134700000000000,-8.2919,-1.4833,2.9755,0.0198999999999998,0.589499999999999
"218",5.4026,-0.0663,-0.9795,-2.8922,-1.7941,-1.1568,0.0656999999999996,0.606400000000001,-3.9701,6.7217,-0.0704000000000002,-5.3174,-9.1472,-4.3169,3.7666,5.5164,-10.9293,4.4559,2.1259,4.0614,1.4157,-3.2489,-2.2878,-2.258,-1.6657,-2.3477,-4.1861,-1.9524,-1.5994,-1.1532,-3.0896,-5.2023,-5.5744,1.6301,5.2062,1.0188,-3.2135,2.1769,3.1338,5.626,7.0425,0.192,1.816,7.6933,-5.4112,-5.2503,1.5548,-0.8754,2.5639,3.0861,-2.4116,-4.2595,-2.1829,6.9349,5.677,2.4948,-6.4533,-2.7788,-0.5452,0.7006,4.0091,5.8689,-4.6814,-4.4124,-5.7719,-3.4623,-7.6168,-3.2542,-1.7068,-1.1495,2.8115,-8.4351,2.0764,0.599,-3.0631,1.7494,1.06920000000000,3.205,-2.985,3.1573,4.2109,0.9294,-0.200600000000000,-5.3892,3.1956,-4.8218,1.6873,-1.2895,-9.6413,3.8463,0.0207999999999999,-9.9849,-3.9675,0.5434,0.356800000000001,-4.4964,5.8825,1.7712,0.5121,1.1215,-4.6889,10.1017,1.0745,-0.318400000000000,3.6882,1.0189,2.4186,1.8626,7.2715,6.3041,3.8654,0.0203000000000007,-8.8185,-1.2169,1.5134,1.2593,-0.395800000000001
"219",5.695,0.572299999999999,-0.6334,-2.0865,-1.1265,-1.4314,0.7551,0.7904,-4.9955,6.312,0.2847,-4.6868,-10.2294,-4.8486,4.2637,6.3385,-11.6257,5.0436,2.1246,4.5849,2.1436,-2.3112,-2.7904,-2.3785,-2.2106,-2.567,-5.4068,-3.6611,-1.5124,-1.7226,-2.6742,-4.6419,-5.3772,1.3796,5.9424,0.8283,-3.0472,2.9344,3.1135,6.0858,6.4761,0.1482,2.4446,8.2693,-4.7957,-5.509,1.7889,-1.3653,2.7366,3.0972,-2.3597,-4.541,-1.3543,6.9836,5.8403,2.6196,-6.4516,-2.5385,-0.4366,0.8856,4.4988,6.0807,-4.1011,-3.7544,-6.0043,-4.2823,-7.8559,-3.2205,-1.2106,-1.5136,3.1269,-8.2286,1.9747,0.3452,-3.596,1.04560000000000,0.622299999999999,2.7907,-3.6148,3.0018,3.716,1.3686,0.263900000000000,-5.4627,2.3644,-3.5799,1.2232,-1.946,-9.4752,2.5688,-1.0923,-9.0218,-4.2974,0.5151,1.0846,-3.8866,6.3854,1.4992,-0.2103,0.4725,-4.5288,9.8573,1.6415,-1.6314,4.5141,1.0875,2.4413,1.6709,6.5635,5.1567,4.3627,0.225800000000000,-9.3532,-0.7006,0.00879999999999992,2.4677,-1.3227
"220",6.0805,1.1338,-0.319699999999999,-1.5497,-0.712,-1.7402,1.3111,0.8269,-5.9913,5.797,0.4971,-4.1366,-11.1307,-5.0643,4.7449,7.057,-12.1021,5.3658,1.9882,5.0316,2.6933,-1.4218,-3.1789,-2.6751,-2.704,-2.6767,-6.621,-5.1141,-1.5036,-2.3125,-2.3481,-3.9379,-5.1381,1.0061,6.5039,0.447299999999998,-2.6185,3.7836,3.311,6.3367,5.9965,-0.0526,2.8476,8.7966,-4.3644,-5.3453,1.8322,-1.9711,3.0634,3.0529,-2.3163,-5.0254,-0.7486,6.9743,5.8799,2.9233,-6.3204,-2.1299,-0.1907,1.0276,4.7688,5.8028,-3.6201,-3.1142,-6.4167,-5.0848,-8.0087,-3.0349,-0.5225,-1.7172,3.2729,-7.8625,1.9212,0.3158,-4.0245,0.3833,0.391900000000001,2.3409,-4.1572,2.8152,3.025,1.6702,0.6704,-5.0018,1.5822,-2.1941,0.947,-2.6538,-9.0491,1.2701,-2.0839,-8.1686,-4.6127,0.574,1.5868,-3.2042,7.0617,1.292,-0.7307,-0.255699999999999,-4.489,9.4259,2.2139,-2.9224,5.3519,0.737,2.4766,1.375,5.6474,3.9425,4.8458,0.504099999999999,-9.8745,-0.0294999999999987,-1.4112,3.6041,-2.1584
"221",6.5131,1.4903,-0.0663999999999998,-1.335,-0.5434,-2.093,1.7191,0.6678,-6.8219,5.3084,0.5642,-3.6503,-11.8327,-5.0473,5.176,7.6491,-12.3106,5.3583,1.6935,5.3963,3.0245,-0.622400000000001,-3.448,-3.0587,-3.1129,-2.6008,-7.78,-6.2107,-1.5095,-2.9022,-2.1108,-3.1119,-4.8299,0.5698,6.813,-0.1456,-1.9328,4.6256,3.7033,6.392,5.6644,-0.3775,2.9903,9.1961,-4.1522,-4.8419,1.6998,-2.6766,3.4929,2.9479,-2.2429,-5.686,-0.4019,6.8661,5.8461,3.3582,-6.1016,-1.5798,0.2008,1.2006,4.7701,5.049,-3.3046,-2.5169,-6.9285,-5.7671,-8.1341,-2.6938,0.2837,-1.7997,3.2268,-7.3996,1.944,0.4435,-4.309,-0.1906,0.4276,1.8335,-4.6564,2.6227,2.2277,1.7898,0.9615,-4.0465,0.904599999999999,-0.8027,0.841,-3.3623,-8.4028,0.0754,-2.8732,-7.5243,-4.8219,0.7147,1.8328,-2.531,7.834,1.254,-0.9909,-0.9344,-4.5073,8.8524,2.7946,-4.1253,6.1317,0.0678999999999998,2.5117,1.0228,4.5903,2.7562,5.2612,0.9058,-10.3554,0.711500000000001,-2.6539,4.6128,-2.9152
"222",6.9294,1.5255,0.107000000000000,-1.3989,-0.581100000000001,-2.4586,1.9802,0.269500000000001,-7.367,4.9504,0.484800000000001,-3.21,-12.3331,-4.8983,5.5496,8.1144,-12.223,5.0046,1.2291,5.6605,3.1299,0.0551000000000013,-3.5712,-3.46,-3.432,-2.2702,-8.8265,-6.9134,-1.4759,-3.4702,-1.9837,-2.1667,-4.4417,0.161000000000000,6.851,-0.9105,-1.0265,5.3751,4.247,6.2934,5.5352,-0.7494,2.8821,9.3965,-4.1311,-4.101,1.4221,-3.4385,3.9628,2.8193,-2.1228,-6.3943,-0.2833,6.6472,5.8004,3.9061,-5.8046,-0.934,0.7202,1.4649,4.4484,3.9152,-3.1938,-1.9882,-7.4507,-6.2334,-8.2656,-2.1875,1.1348,-1.8184,3.0214,-6.899,2.0408,0.6614,-4.4343,-0.6229,0.7403,1.2748,-5.1572,2.4417,1.4605,1.6968,1.1069,-2.7086,0.3802,0.4764,0.8947,-4.0267,-7.5694,-0.9264,-3.4034,-7.169,-4.8474,0.9361,1.8117,-1.9647,8.6167,1.4531,-0.9746,-1.4471,-4.5216,8.2045,3.3862,-5.1762,6.7755,-0.7777,2.536,0.6467,3.5063,1.6855,5.5977,1.4828,-10.7505,1.46950000000000,-3.6778,5.4335,-3.6262
"223",7.2575,1.1738,0.1867,-1.611,-0.770299999999999,-2.7829,2.1136,-0.372999999999999,-7.5604,4.7779,0.243000000000000,-2.8385,-12.638,-4.6928,5.8672,8.4614,-11.8295,4.3467,0.6102,5.7974,3.0277,0.594999999999999,-3.5131,-3.8408,-3.6722,-1.6574,-9.7002,-7.2579,-1.3712,-3.9908,-2.0033,-1.1023,-3.997,-0.1273,6.6493,-1.7505,0.0343999999999998,5.9634,4.8793,6.0981,5.6345,-1.0863,2.5783,9.3436,-4.2321,-3.2081,1.0194,-4.1849,4.413,2.745,-1.9732,-6.9738,-0.3237,6.3299,5.7961,4.5621,-5.432,-0.2487,1.3039,1.8449,3.768,2.5545,-3.3157,-1.5487,-7.924,-6.4324,-8.3956,-1.4944,1.9727,-1.819,2.7378,-6.413,2.1847,0.9251,-4.4022,-0.8678,1.2943,0.6921,-5.6756,2.2914,0.8699,1.3719,1.1186,-1.122,0.0507000000000009,1.5591,1.0964,-4.6007,-6.5558,-1.6985,-3.6567,-7.1401,-4.6346,1.2372,1.5215,-1.5824,9.315,1.8925,-0.722600000000001,-1.715,-4.479,7.549,3.9694,-6.0106,7.2209,-1.6599,2.5462,0.2528,2.5337,0.791600000000001,5.8933,2.2587,-10.9786,2.2256,-4.4917,6.0181,-4.326
"224",7.4264,0.4417,0.1612,-1.8088,-1.06,-3.0148,2.155,-1.2025,-7.4044,4.7884,-0.188899999999999,-2.6066,-12.7662,-4.4583,6.1238,8.6947,-11.1509,3.4829,-0.1152,5.7861,2.7553,1.0004,-3.244,-4.1822,-3.8474,-0.8059,-10.3575,-7.3337,-1.1969,-4.4312,-2.1932,0.0533000000000001,-3.5592,-0.2469,6.2643,-2.5524,1.1638,6.3354,5.5215,5.8678,5.9449,-1.3312,2.1592,8.9988,-4.3771,-2.2178,0.5044,-4.8183,4.7933,2.8131,-1.851,-7.2766,-0.4496,5.9255,5.8571,5.3105,-5.0131,0.4188,1.844,2.3051,2.7376,1.1377,-3.6903,-1.2105,-8.3317,-6.3784,-8.483,-0.5889,2.7578,-1.817,2.4821,-5.9858,2.35,1.2111,-4.2221,-0.908,2.0155,0.1315,-6.187,2.1948,0.5741,0.8008,1.0506,0.597999999999999,-0.0352999999999994,2.4005,1.4225,-5.0399,-5.3653,-2.2533,-3.6491,-7.419,-4.1534,1.6095,0.9673,-1.4075,9.8199,2.5161,-0.3315,-1.6987,-4.3413,6.929,4.4902,-6.5618,7.4409,-2.4682,2.5519,-0.1753,1.7981,0.0999999999999996,6.2186,3.2062,-10.9366,2.9761,-5.1383,6.343,-5.0385
"225",7.3796,-0.5891,0.0299999999999998,-1.8633,-1.4191,-3.1208,2.1487,-2.1036,-6.9592,4.9306,-0.8158,-2.6016,-12.7508,-4.1749,6.3141,8.8037,-10.2458,2.5493,-0.8763,5.6281,2.3623,1.2893,-2.7575,-4.4573,-3.967,0.168,-10.7951,-7.2483,-0.9802,-4.7588,-2.5379,1.2281,-3.2065,-0.22380,5.7535,-3.2382,2.2668,6.4496,6.0944,5.6587,6.4066,-1.4621,1.6916,8.339,-4.5139,-1.169,-0.102200000000000,-5.2396,5.0768,3.0894,-1.8328,-7.2412,-0.6171,5.4374,5.9602,6.1165,-4.6153,1.0124,2.2168,2.7545,1.4204,-0.183500000000000,-4.3107,-0.9768,-8.6793,-6.1408,-8.4701,0.5446,3.4642,-1.8065,2.3519,-5.6467,2.5329,1.496,-3.908,-0.7621,2.8117,-0.3389,-6.6362,2.1758,0.6368,-0.0276999999999998,0.9763,2.3586,0.1806,2.9904,1.8315,-5.3113,-4.039,-2.6346,-3.4165,-7.938,-3.4042,2.0445,0.1727,-1.4107,10.014,3.2421,0.0724,-1.3925,-4.0939,6.3575,4.876,-6.7762,7.4436,-3.1276,2.5762,-0.6498,1.3764,-0.3919,6.6341,4.2409,-10.5426,3.7036,-5.6633,6.421,-5.7637
"226",7.091,-1.7851,-0.1807,-1.7223,-1.8405,-3.0867,2.1287,-2.9405,-6.3205,5.1249,-1.5841,-2.878,-12.6309,-3.7967,6.4487,8.7596,-9.2024,1.6921,-1.5937,5.3504,1.8977,1.4891,-2.0835,-4.614,-4.0439,1.1108,-11.0583,-7.1001,-0.7477,-4.9639,-2.9752,2.3177,-2.9865,-0.138600000000000,5.1695,-3.7761,3.2494,6.2874,6.5399,5.5117,6.9312,-1.4891,1.2018,7.3688,-4.6315,-0.110600000000000,-0.7627,-5.3808,5.2631,3.5964,-1.9716,-6.8993,-0.8293,4.8828,6.0442,6.9421,-4.3238,1.4713,2.3319,3.0873,-0.0724999999999998,-1.302,-5.1204,-0.8495,-8.9564,-5.804,-8.2982,1.897,4.0683,-1.7786,2.4113,-5.3963,2.7536,1.7326,-3.477,-0.472,3.5966,-0.627200000000001,-6.9563,2.2574,1.06,-1.1102,0.9577,4.0818,0.7455,3.3393,2.2623,-5.4067,-2.6781,-2.9016,-3.0009,-8.5956,-2.4258,2.5465,-0.8029,-1.5297,9.7938,3.9902,0.3757,-0.8282,-3.751,5.8326,5.0665,-6.6343,7.2595,-3.5917,2.6451,-1.1482,1.2791,-0.696,7.1567,5.2369,-9.7795,4.369,-6.0793,6.312,-6.4718
