"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107"
"305",-2.9208,26.867,9.5349,6.8276,15.1725,5.9597,-9.6441,1.6234,9.125,-1.9889,-6.8128,-5.2026,13.7111,2.6524,4.1396,1.29100000000000,14.2162,-8.0502,0.364700000000001,-6.4575,0.5679,6.8671,-20.7,-10.585,-4.4119,-5.2648,16.887,0.8397,0.886799999999997,2.6957,-4.1921,0.398300000000003,15.2794,-3.9434,3.2708,9.5271,-6.7088,5.4685,3.4033,-10.0203,7.4905,-4.7524,-3.916,0.6092,5.9787,6.8351,1.0951,15.8161,4.7413,12.497,-4.7501,-6.3629,0.8121,-6.26,1.4543,5.9483,7.2084,5.9246,-5.739,3.7607,3.8952,4.0617,-7.502,-3.4604,-1.4609,9.1293,2.3064,5.7977,-8.2971,4.0774,9.5464,-8.5964,-3.3307,19.324,-2.7276,-10.4031,4.4367,5.8292,-5.7083,-0.4009,-9.0337,-7.116,11.8376,1.8098,-1.495,1.3138,-4.6189,3.4237,12.4639,15.8016,3.7864,7.5102,-4.1661,8.803,6.0055,-11.441,5.4064,-8.5527,-13.6093,15.9977,12.3681,0.174900000000001,8.5678,-2.1268,-2.1883,1.3155,1.6717
"306",-2.6023,25.8691,10.617,7.0053,13.2651,6.6319,-9.6062,2.2738,10.6891,-0.8887,-5.4749,-5.0286,14.2971,2.7567,2.9815,1.02940000000000,13.0111,-6.5939,1.7189,-6.832,0.4736,7.2296,-20.8953,-11.457,-4.1337,-2.51470000000000,18.09,0.7415,0.437900000000003,2.6012,-4.3971,2.5709,15.2468,-5.3763,2.5906,8.9189,-6.0871,3.9518,2.5633,-10.0827,7.0898,-5.8792,-3.129,-0.3194,6.1295,7.0928,0.9383,16.6959,5.5571,10.9222,-4.4928,-5.7012,1.5788,-6.5142,0.9183,6.7095,8.1743,3.6533,-6.2024,4.1249,5.0046,2.6318,-8.2693,-5.0722,-1.7532,9.0107,2.5347,7.0191,-8.5414,3.1622,10.1276,-8.9321,-3.8118,19.2012,-3.069,-10.8324,4.8123,5.3038,-6.2564,-0.592,-8.1723,-6.9948,11.6274,0.727400000000003,-0.3086,1.5121,-4.0269,4.0238,11.6333,15.7161,3.5395,7.0557,-5.5289,8.7405,6.4642,-11.1202,5.1014,-10.824,-13.6078,16.3611,12.9412,0.5289,9.0693,-0.9493,-2.9402,1.3669,1.0589
"307",-2.3322,24.6479,11.4242,7.3774,11.3846,7.056,-9.7466,3.0372,11.9936,-0.216800000000001,-4.2705,-4.8847,14.5324,2.9514,2.0598,0.6356,11.9722,-4.8358,3.0939,-6.9468,0.3696,7.9449,-20.8634,-12.2251,-3.73,0.0337999999999994,19.1678,0.591299999999999,-0.0644999999999989,2.7614,-4.3999,4.9052,15.3975,-6.5555,2.0209,8.5445,-5.15,2.3291,1.85,-10.0999,7.045,-6.7795,-2.1788,-1.386,6.1498,7.1724,0.7543,17.375,5.8185,9.345,-4.1329,-5.126,2.6841,-6.385,0.3511,7.5145,9.2827,1.88350000000000,-6.3728,4.4075,6.5458,1.5268,-8.9211,-7.0498,-2.4077,8.6637,2.6312,7.8827,-8.7501,2.3096,10.8363,-9.2117,-4.1087,19.0684,-3.2417,-10.8922,5.2636,4.6574,-6.8126,-0.777800000000001,-6.7454,-6.8451,11.2751,-0.206699999999998,0.8225,1.4742,-3.6067,4.8155,11.0365,15.6421,3.5397,6.7719,-6.8037,8.787,7.1466,-10.6475,5.0663,-13.0234,-13.5438,16.9526,13.5296,0.783999999999999,9.6791,0.135900000000000,-3.6633,1.22620000000000,0.3896
"308",-2.1398,23.2191,11.9517,7.8563,9.738,7.096,-10.0264,3.8564,12.9947,0.0668000000000006,-3.3104,-4.8216,14.3661,3.24,1.3615,0.0976,11.0669,-2.9124,4.4792,-6.82,0.223600000000000,8.9361,-20.5832,-12.8774,-3.3098,2.3108,20.0993,0.351100000000001,-0.5427,3.2373,-4.2656,7.2191,15.7569,-7.407,1.6407,8.3873,-3.9797,0.742999999999999,1.3951,-10.0035,7.3877,-7.3208,-1.1665,-2.4598,6.0386,7.0575,0.5795,17.8133,5.5136,7.859,-3.7635,-4.6784,4.0244,-5.8707,-0.2248,8.2935,10.5182,0.5978,-6.1943,4.6273,8.3086,0.7558,-9.461,-9.3384,-3.4754,8.0164,2.5443,8.3003,-8.9341,1.6114,11.5524,-9.4433,-4.1779,18.9758,-3.2668,-10.592,5.7296,3.928,-7.3619,-0.9551,-4.888,-6.5994,10.812,-0.938300000000002,1.8573,1.2561,-3.3568,5.7493,10.759,15.5718,3.8342,6.7054,-7.9124,8.9133,8.0305,-10.0315,5.1841,-15.0566,-13.4608,17.7284,14.1009,0.841,10.3576,1.0383,-4.3272,0.8505,-0.3329
"309",-2.0484,21.5745,12.2296,8.3531,8.4841,6.6612,-10.3706,4.6614,13.687,0.071299999999999,-2.6655,-4.8569,13.7795,3.6446,0.8494,-0.5602,10.248,-0.9574,5.8893,-6.5119,0.0189000000000004,10.1034,-20.0783,-13.4144,-2.9923,4.2853,20.8444,-0.0100999999999996,-0.9226,4.0722,-4.0579,9.3115,16.3243,-7.9178,1.50400000000000,8.3854,-2.6647,-0.6542,1.2858,-9.7566,8.0984,-7.4119,-0.179000000000000,-3.4231,5.8121,6.7508,0.4275,18.0028,4.6947,6.5593,-3.4838,-4.3984,5.4617,-5.0222,-0.7763,8.9537,11.8447,-0.266300000000001,-5.6516,4.8257,10.0912,0.302400000000002,-9.8994,-11.8507,-4.9317,7.0557,2.26120000000000,8.2388,-9.1206,1.1332,12.1657,-9.6477,-4.0067,18.9659,-3.1939,-9.9804,6.1628,3.1362,-7.8815,-1.105,-2.7438,-6.1653,10.2352,-1.4406,2.7784,0.9228,-3.2505,6.7381,10.825,15.4937,4.3954,6.906,-8.798,9.0809,9.0601,-9.2643,5.3322,-16.8039,-13.3743,18.599,14.6638,0.638300000000001,11.0836,1.6891,-4.8794,0.226699999999999,-1.0766
"310",-2.0766,19.7182,12.2956,8.8038,7.7131,5.7271,-10.6841,5.3808,14.0877,-0.0646000000000004,-2.3399,-4.979,12.7909,4.1956,0.4693,-1.2897,9.4815,0.9161,7.3262,-6.1022,-0.248600000000000,11.3432,-19.3906,-13.8419,-2.8902,5.9503,21.3327,-0.5061,-1.1456,5.2753,-3.8325,10.9945,17.077,-8.1383,1.631,8.464,-1.29810000000000,-1.7224,1.55,-9.3469,9.1164,-7.0247,0.7145,-4.2024,5.5068,6.271,0.268600000000000,17.9469,3.4808,5.5256,-3.3888,-4.3216,6.8502,-3.9299,-1.2573,9.3918,13.1906,-0.7866,-4.7898,5.0449,11.7357,0.120099999999997,-10.2508,-14.4664,-6.6713,5.8343,1.7903,7.7205,-9.3427,0.9037,12.598,-9.8626,-3.6175,19.0636,-3.0816,-9.1368,6.5539,2.281,-8.3443,-1.21,-0.452100000000001,-5.454,9.5316,-1.7206,3.5775,0.5459,-3.2505,7.6825,11.1603,15.3803,5.1386,7.4095,-9.4284,9.2527,10.1666,-8.3283,5.414,-18.1462,-13.2527,19.4354,15.2625,0.1631,11.8358,2.0701,-5.2678,-0.606299999999999,-1.7803
"311",-2.236,17.6952,12.1749,9.1732,7.4454,4.3381,-10.8691,5.963,14.2466,-0.2051,-2.2597,-5.1526,11.467,4.9178,0.1579,-2.0365,8.7568,2.61,8.7627,-5.6519,-0.5685,12.5598,-18.5655,-14.1633,-3.078,7.3034,21.4886,-1.12020000000000,-1.1885,6.814,-3.6268,12.1269,17.9732,-8.151,2.0137,8.557,0.0177000000000014,-2.3719,2.1661,-8.7698,10.3497,-6.2099,1.4627,-4.7761,5.1717,5.6556,0.0367999999999999,17.6528,2.0435,4.8004,-3.5565,-4.47660000000000,8.069,-2.7047,-1.6117,9.5165,14.4549,-1.03860000000000,-3.7142,5.3082,13.1415,0.128800000000002,-10.5354,-17.0396,-8.52,4.4656,1.1523,6.8122,-9.627,0.9132,12.808,-10.133,-3.0541,19.2765,-2.9804,-8.143,6.9386,1.3494,-8.726,-1.2653,1.8527,-4.3891,8.7097,-1.8227,4.2396,0.197300000000000,-3.3229,8.487,11.6071,15.195,5.9496,8.2029,-9.7854,9.4054,11.2871,-7.2109,5.3881,-18.9815,-13.0203,20.0951,15.9607,-0.549099999999999,12.5771,2.2307,-5.4762,-1.5493,-2.3697
"312",-2.5236,15.592,11.8673,9.4366,7.6354,2.6007,-10.8547,6.3951,14.2485,-0.239500000000001,-2.2918,-5.3383,9.9291,5.8151,-0.1515,-2.7519,8.0766,4.0321,10.1516,-5.1825,-0.9145,13.6765,-17.652,-14.3797,-3.5677,8.3408,21.2608,-1.7985,-1.078,8.6178,-3.4456,12.6381,18.9608,-8.0374,2.6261,8.6106,1.17690000000000,-2.5986,3.084,-8.0233,11.6745,-5.0818,2.0263,-5.1666,4.84950000000001,4.9655,-0.3428,17.1469,0.573,4.3792,-4.0349,-4.871,9.0438,-1.4543,-1.7831,9.2769,15.5279,-1.09640000000000,-2.5676,5.6171,14.2604,0.2287,-10.778,-19.4151,-10.2569,3.1012,0.379099999999999,5.6082,-9.9839,1.1206,12.7944,-10.4928,-2.3584,19.6016,-2.9266,-7.0453,7.3725,0.3324,-9.0009,-1.2821,4.0454,-2.9116,7.8109,-1.8188,4.7405,-0.061,-3.4405,9.0611,11.9805,14.9144,6.7017,9.2067,-9.8578,9.54,12.3739,-5.9137,5.2719,-19.229,-12.5828,20.461,16.8194,-1.4227,13.2515,2.2702,-5.5432,-2.4521,-2.7783
"313",-2.9173,13.5116,11.3366,9.563,8.1727,0.6712,-10.623,6.7018,14.1917,-0.0940000000000012,-2.2969,-5.5148,8.3378,6.8572,-0.5103,-3.4006,7.4353,5.1051,11.4465,-4.6807,-1.2526,14.6445,-16.6938,-14.4964,-4.3136,9.0552,20.6423,-2.4565,-0.8782,10.578,-3.2544,12.5405,19.9875,-7.863,3.43100000000000,8.5807,2.0836,-2.481,4.246,-7.1164,12.9375,-3.7735,2.3692,-5.4336,4.5557,4.2747,-0.9163,16.4935,-0.7596,4.2179,-4.8296,-5.4753,9.7532,-0.261600000000000,-1.7408,8.6877,16.3158,-1.03310000000000,-1.4977,5.9695,15.0874,0.323799999999999,-11.0059,-21.4504,-11.6483,1.8949,-0.491999999999999,4.2194,-10.4027,1.4598,12.5935,-10.9487,-1.5554,20.0298,-2.9407,-5.8359,7.8939,-0.7624,-9.135,-1.2821,6.0253,-0.9884,6.8887,-1.7831,5.0594,-0.188,-3.5692,9.3222,12.1306,14.5445,7.2645,10.2856,-9.6376,9.675,13.3906,-4.4584,5.1155,-18.8312,-11.8592,20.4721,17.8728,-2.3567,13.8026,2.2995,-5.5328,-3.1429,-2.9679
"314",-3.3808,11.5433,10.5146,9.5062,8.8983,-1.2618,-10.2154,6.9286,14.1505,0.267999999999999,-2.1835,-5.6912,6.8575,7.9783,-0.9251,-3.9612,6.7979,5.7886,12.617,-4.113,-1.551,15.4542,-15.7134,-14.5217,-5.2341,9.4317,19.6771,-2.9944,-0.658800000000001,12.5525,-2.9918,11.9274,21.006,-7.6721,4.3787,8.4346,2.6613,-2.1425,5.5961,-6.0791,13.9734,-2.3977,2.4607,-5.6623,4.2754,3.6483,-1.6818,15.7874,-1.8269,4.2556,-5.8918,-6.218,10.2066,0.8263,-1.5092,7.8329,16.7636,-0.918599999999998,-0.6373,6.3759,15.6562,0.345800000000001,-11.2337,-23.0399,-12.5019,0.9668,-1.425500,2.7608,-10.8543,1.8463,12.2691,-11.4754,-0.6484,20.5443,-3.0216,-4.4655,8.5006,-1.9113,-9.0934,-1.2931,7.7292,1.3755,5.973,-1.7694,5.198,-0.1701,-3.6535,9.2126,11.9695,14.1219,7.5277,11.2804,-9.1209,9.829,14.3016,-2.8849,4.9776,-17.7703,-10.8083,20.137,19.1088,-3.2444,14.1949,2.4103,-5.4828,-3.4744,-2.9445
"315",-3.8736,9.7427,9.3296,9.2157,9.6451,-3.0023,-9.7114,7.1287,14.15,0.851399999999998,-1.9286,-5.8942,5.6222,9.086,-1.3339,-4.4199,6.0984,6.0893,13.6478,-3.4359,-1.7835,16.1217,-14.7162,-14.4507,-6.2364,9.4482,18.4522,-3.3235,-0.457700000000001,14.3638,-2.606,10.9539,21.9723,-7.4767,5.4014,8.1576,2.8685,-1.7092,7.0814,-4.967,14.6375,-1.04170000000000,2.2984,-5.9373,3.9837,3.1266,-2.5942,15.1259,-2.5513,4.4337,-7.114,-6.9952,10.4131,1.7828,-1.1739,6.8455,16.8678,-0.8172,-0.0910000000000002,6.8596,16.0344,0.2568,-11.4583,-24.1232,-12.7188,0.3932,-2.3796,1.3359,-11.293,2.1863,11.889,-12.0135,0.372,21.1154,-3.1508,-2.8874,9.1622,-3.0824,-8.8542,-1.3365,9.121,4.1287,5.0501,-1.8016,5.1916,-0.0207000000000001,-3.6247,8.7224,11.4718,13.7036,7.4254,12.0461,-8.3053,10.0058,15.0647,-1.2473,4.912,-16.0962,-9.4451,19.5272,20.4559,-3.9969,14.423,2.6633,-5.3779,-3.3756,-2.7578
"316",-4.3628,8.1331,7.752,8.6633,10.2753,-4.376,-9.1942,7.3523,14.1671,1.6376,-1.5593,-6.1367,4.7171,10.0767,-1.6205,-4.7678,5.2666,6.0567,14.5367,-2.6039,-1.9215,16.657,-13.7121,-14.253,-7.2397,9.0885,17.074,-3.3948,-0.271200000000000,15.8103,-2.0845,9.8009,22.843,-7.2458,6.4155,7.7486,2.7139,-1.2927,8.6556,-3.8594,14.8315,0.206799999999999,1.9348,-6.2985,3.6755,2.7166,-3.5834,14.5754,-2.8985,4.6955,-8.3485,-7.6893,10.361,2.5803,-0.8573,5.8711,16.677,-0.794600000000003,0.0787,7.4428,16.3037,0.0362999999999989,-11.6645,-24.6765,-12.3134,0.2145,-3.2962,0.0227999999999984,-11.657,2.3935,11.5004,-12.4736,1.5143,21.6962,-3.3119,-1.1045,9.8468,-4.2401,-8.409,-1.4202,10.1583,7.1705,4.0656,-1.8785,5.106,0.224100000000000,-3.4276,7.9042,10.6599,13.3593,6.9475,12.4807,-7.2072,10.1939,15.6418,0.391400000000001,4.9595,-13.9396,-7.8506,18.758,21.7872,-4.562,14.5071,3.0865,-5.1587,-2.8817,-2.4727
